sample_id,sample_path,status,audio_ratio,changed_fields,old_values,new_values,reason
F_044,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_044,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""3.430"", ""event_start"": ""3.330"", ""landing_zone"": ""8""}","{""event_end"": ""3.450"", ""event_start"": ""3.350"", ""landing_zone"": ""7""}",field-level evidence applied; unverified secondary fields retained
F_045,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_045,auto_applied,,"event_start,event_end","{""event_end"": ""2.180"", ""event_start"": ""2.080""}","{""event_end"": ""2.150"", ""event_start"": ""2.050""}",field-level evidence applied; unverified secondary fields retained
F_046,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_046,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_047,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_047,auto_applied,,"strength,event_start,event_end","{""event_end"": ""3.500"", ""event_start"": ""3.400"", ""strength"": ""medium""}","{""event_end"": ""3.450"", ""event_start"": ""3.350"", ""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
F_048,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_048,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_049,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_049,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_051,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_051,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_052,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_052,auto_applied,,"event_start,event_end","{""event_end"": ""1.880"", ""event_start"": ""1.780""}","{""event_end"": ""1.870"", ""event_start"": ""1.770""}",field-level evidence applied; unverified secondary fields retained
F_053,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_053,auto_applied,,"event_start,event_end","{""event_end"": ""2.180"", ""event_start"": ""2.100""}","{""event_end"": ""2.050"", ""event_start"": ""1.950""}",field-level evidence applied; unverified secondary fields retained
F_054,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_054,auto_applied,,"event_start,event_end","{""event_end"": ""1.340"", ""event_start"": ""1.240""}","{""event_end"": ""1.330"", ""event_start"": ""1.230""}",field-level evidence applied; unverified secondary fields retained
F_055,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_055,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_056,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_056,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_057,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_057,auto_applied,,event_end,"{""event_end"": ""3.420""}","{""event_end"": ""3.370""}",field-level evidence applied; unverified secondary fields retained
F_058,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_058,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_059,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_059,auto_applied,,"event_start,event_end","{""event_end"": ""1.440"", ""event_start"": ""1.340""}","{""event_end"": ""1.450"", ""event_start"": ""1.350""}",field-level evidence applied; unverified secondary fields retained
F_060,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_060,auto_applied,,"event_start,event_end","{""event_end"": ""3.420"", ""event_start"": ""3.380""}","{""event_end"": ""3.470"", ""event_start"": ""3.370""}",field-level evidence applied; unverified secondary fields retained
F_061,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_061,auto_applied,,"trajectory_type,event_start,event_end","{""event_end"": ""1.280"", ""event_start"": ""1.180"", ""trajectory_type"": ""fly""}","{""event_end"": ""1.270"", ""event_start"": ""1.170"", ""trajectory_type"": ""line_drive""}",field-level evidence applied; unverified secondary fields retained
F_062,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_062,auto_applied,,"strength,event_start,event_end","{""event_end"": ""1.860"", ""event_start"": ""1.760"", ""strength"": ""medium""}","{""event_end"": ""1.870"", ""event_start"": ""1.770"", ""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
F_063,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_063,auto_applied,,event_end,"{""event_end"": ""2.350""}","{""event_end"": ""2.310""}",field-level evidence applied; unverified secondary fields retained
F_064,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_064,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_065,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_065,auto_applied,,strength,"{""strength"": ""medium""}","{""strength"": ""high""}",field-level evidence applied; unverified secondary fields retained
F_066,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_066,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_067,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_067,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_068,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_068,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_069,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_069,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_070,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_070,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_071,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_071,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_072,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_072,auto_applied,,"event_start,event_end","{""event_end"": ""2.070"", ""event_start"": ""1.930""}","{""event_end"": ""2.050"", ""event_start"": ""1.950""}",field-level evidence applied; unverified secondary fields retained
F_073,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_073,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_074,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_074,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""2.130"", ""event_start"": ""2.030"", ""landing_zone"": ""1""}","{""event_end"": ""2.090"", ""event_start"": ""1.990"", ""landing_zone"": ""2""}",field-level evidence applied; unverified secondary fields retained
F_075,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_075,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_076,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_076,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_077,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_077,auto_applied,,"event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950""}","{""event_end"": ""2.070"", ""event_start"": ""1.970""}",field-level evidence applied; unverified secondary fields retained
F_079,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_079,auto_applied,,event_end,"{""event_end"": ""2.760""}","{""event_end"": ""2.710""}",field-level evidence applied; unverified secondary fields retained
F_080,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_080,auto_applied,,"event_start,event_end","{""event_end"": ""2.120"", ""event_start"": ""2.050""}","{""event_end"": ""2.130"", ""event_start"": ""2.030""}",field-level evidence applied; unverified secondary fields retained
F_081,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_081,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_082,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_082,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_083,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_083,auto_applied,,"event_start,event_end","{""event_end"": ""1.740"", ""event_start"": ""1.640""}","{""event_end"": ""1.730"", ""event_start"": ""1.630""}",field-level evidence applied; unverified secondary fields retained
F_084,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_084,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_085,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_085,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_086,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_086,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_087,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_087,auto_applied,,"event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950""}","{""event_end"": ""2.010"", ""event_start"": ""1.910""}",field-level evidence applied; unverified secondary fields retained
F_088,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_088,auto_applied,,"event_start,event_end","{""event_end"": ""1.620"", ""event_start"": ""1.480""}","{""event_end"": ""1.590"", ""event_start"": ""1.490""}",field-level evidence applied; unverified secondary fields retained
F_090,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_090,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_091,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_091,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_092,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_092,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""1.805"", ""event_start"": ""1.705"", ""landing_zone"": ""4""}","{""event_end"": ""1.810"", ""event_start"": ""1.710"", ""landing_zone"": ""2""}",field-level evidence applied; unverified secondary fields retained
F_093,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_093,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_094,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_094,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_095,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_095,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_096,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_096,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_097,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_097,auto_applied,,"event_start,event_end","{""event_end"": ""1.480"", ""event_start"": ""1.380""}","{""event_end"": ""1.490"", ""event_start"": ""1.390""}",field-level evidence applied; unverified secondary fields retained
F_098,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_098,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_099,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_099,auto_applied,,"event_start,event_end","{""event_end"": ""3.326"", ""event_start"": ""3.226""}","{""event_end"": ""3.310"", ""event_start"": ""3.210""}",field-level evidence applied; unverified secondary fields retained
F_100,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_100,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_101,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_101,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_102,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_102,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_103,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_103,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_104,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_104,auto_applied,,"event_start,event_end","{""event_end"": ""2.060"", ""event_start"": ""1.960""}","{""event_end"": ""2.050"", ""event_start"": ""1.950""}",field-level evidence applied; unverified secondary fields retained
F_105,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_105,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_106,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_106,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_107,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_107,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_108,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_108,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_109,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_109,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_110,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_110,auto_applied,,"event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950""}","{""event_end"": ""2.070"", ""event_start"": ""1.970""}",field-level evidence applied; unverified secondary fields retained
F_111,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_111,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_112,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_112,auto_applied,,"event_start,event_end","{""event_end"": ""1.420"", ""event_start"": ""1.320""}","{""event_end"": ""1.410"", ""event_start"": ""1.310""}",field-level evidence applied; unverified secondary fields retained
F_113,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_113,auto_applied,,"event_start,event_end","{""event_end"": ""1.780"", ""event_start"": ""1.680""}","{""event_end"": ""1.770"", ""event_start"": ""1.670""}",field-level evidence applied; unverified secondary fields retained
F_114,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_114,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_115,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_115,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_116,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_116,auto_applied,,"event_start,event_end","{""event_end"": ""1.000"", ""event_start"": ""0.900""}","{""event_end"": ""0.990"", ""event_start"": ""0.890""}",field-level evidence applied; unverified secondary fields retained
F_117,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_117,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_118,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_118,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_119,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_119,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_120,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_120,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_121,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_121,auto_applied,,"event_start,event_end","{""event_end"": ""1.480"", ""event_start"": ""1.380""}","{""event_end"": ""1.470"", ""event_start"": ""1.370""}",field-level evidence applied; unverified secondary fields retained
F_123,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_123,auto_applied,,"event_start,event_end","{""event_end"": ""0.830"", ""event_start"": ""0.730""}","{""event_end"": ""0.870"", ""event_start"": ""0.770""}",field-level evidence applied; unverified secondary fields retained
F_124,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_124,pass,,,{},{},field-level evidence applied; unverified secondary fields retained
F_125,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_125,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_127,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_127,auto_applied,,"event_start,event_end","{""event_end"": ""1.420"", ""event_start"": ""1.320""}","{""event_end"": ""1.410"", ""event_start"": ""1.310""}",field-level evidence applied; unverified secondary fields retained
F_128,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_128,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_129,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_129,auto_applied,,"event_start,event_end","{""event_end"": ""0.950"", ""event_start"": ""0.800""}","{""event_end"": ""0.610"", ""event_start"": ""0.510""}",field-level evidence applied; unverified secondary fields retained
F_130,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_130,auto_applied,,"event_start,event_end","{""event_end"": ""3.050"", ""event_start"": ""2.950""}","{""event_end"": ""3.890"", ""event_start"": ""3.790""}",field-level evidence applied; unverified secondary fields retained
F_131,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_131,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_132,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_132,permissive_reject,,,{},{},one review stage explicitly found the sample unusable
F_133,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_133,auto_applied,,"event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950""}","{""event_end"": ""1.930"", ""event_start"": ""1.830""}",field-level evidence applied; unverified secondary fields retained
F_134,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_134,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_135,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_135,auto_applied,,"event_start,event_end","{""event_end"": ""0.370"", ""event_start"": ""0.270""}","{""event_end"": ""6.370"", ""event_start"": ""6.270""}",field-level evidence applied; unverified secondary fields retained
F_136,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_136,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_138,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_138,auto_applied,,"event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950""}","{""event_end"": ""1.990"", ""event_start"": ""1.890""}",field-level evidence applied; unverified secondary fields retained
F_139,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_139,auto_applied,,"event_start,event_end","{""event_end"": ""0.600"", ""event_start"": ""0.400""}","{""event_end"": ""0.850"", ""event_start"": ""0.750""}",field-level evidence applied; unverified secondary fields retained
F_140,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_140,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_142,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_142,auto_applied,,"event_start,event_end","{""event_end"": ""2.060"", ""event_start"": ""1.960""}","{""event_end"": ""2.050"", ""event_start"": ""1.950""}",field-level evidence applied; unverified secondary fields retained
F_143,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_143,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_144,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_144,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_145,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_145,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""2.060"", ""event_start"": ""1.960"", ""landing_zone"": ""pending""}","{""event_end"": ""2.050"", ""event_start"": ""1.950"", ""landing_zone"": ""3""}",field-level evidence applied; unverified secondary fields retained
F_146,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_146,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_147,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_147,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""0.150"", ""event_start"": ""0.050"", ""landing_zone"": ""pending""}","{""event_end"": ""1.470"", ""event_start"": ""1.370"", ""landing_zone"": ""3""}",field-level evidence applied; unverified secondary fields retained
F_148,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_148,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950"", ""landing_zone"": ""pending""}","{""event_end"": ""4.230"", ""event_start"": ""4.130"", ""landing_zone"": ""5""}",field-level evidence applied; unverified secondary fields retained
F_149,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_149,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_150,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_150,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_151,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_151,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""2.050"", ""event_start"": ""1.950"", ""landing_zone"": ""pending""}","{""event_end"": ""1.450"", ""event_start"": ""1.350"", ""landing_zone"": ""4""}",field-level evidence applied; unverified secondary fields retained
F_152,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_152,manual_review,,,{},{},audio-candidate timing evidence gate failed
F_153,review_workspace\flyball_v2_batch_01\fly_ball\FlyballV2\F_153,auto_applied,,"landing_zone,event_start,event_end","{""event_end"": ""0.570"", ""event_start"": ""0.470"", ""landing_zone"": ""pending""}","{""event_end"": ""0.790"", ""event_start"": ""0.690"", ""landing_zone"": ""1""}",field-level evidence applied; unverified secondary fields retained
