source_id,source_url,video_title,game_date,teams,batter,event_text,expected_label,rights_note,status,local_path,source_hash,notes
MLB_822714_jake-mangum-pops-out-to-shortstop-cj-abrams,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/03/5b1ff976-9bcef8d0-1ee645db-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,CJ Abrams makes the catch for the win CJ Abrams makes the catch for the win CJ Abrams makes the catch for the win CJ Abrams catches Jake Mangum's fly ball to lock down the Nationals' 9-5 win,2026-07-03,Pittsburgh Pirates at Washington Nationals,,CJ Abrams makes the catch for the win CJ Abrams makes the catch for the win CJ Abrams makes the catch for the win CJ Abrams catches Jake Mangum's fly ball to lock down the Nationals' 9-5 win,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_822714_jake-mangum-pops-out-to-shortstop-cj-abrams_CJ_Abrams_makes_the_catch_for_the_win_CJ_Abrams_makes_the_catch_for_the_win_CJ_A.mp4,ad7b0a6b4538fd4645a82c03b026308ce10b81e71e90b7d66d624e8735accb8c,gamePk=822714
MLB_824982_griffin-conine-lines-out-to-first-baseman-nick-kurtz,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/03/1ca68bfa-5ff58acc-7f2819cb-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Nick Kurtz's leaping catch Nick Kurtz's leaping catch Nick Kurtz's leaping catch Nick Kurtz shows off his defense at first base, leaping to make a smooth snag on a hard hit line drive to retire the side",2026-07-03,Miami Marlins at Athletics,,"Nick Kurtz's leaping catch Nick Kurtz's leaping catch Nick Kurtz's leaping catch Nick Kurtz shows off his defense at first base, leaping to make a smooth snag on a hard hit line drive to retire the side",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824982_griffin-conine-lines-out-to-first-baseman-nick-kurtz_Nick_Kurtz_s_leaping_catch_Nick_Kurtz_s_leaping_catch_Nick_Kurtz_s_leaping_catch.mp4,846d22443aa100b5597c91f1f911225d54f70212a21570befa424c67b1c4b851,gamePk=824982
MLB_824982_jack-perkins-in-play-out-s-to-otto-lopez,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/03/6a9954d6-608aa2da-e12d7326-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Shea Langeliers' barehanded stop and throw Shea Langeliers' barehanded stop and throw Shea Langeliers' barehanded stop and throw Shea Langeliers hustles to a soft ground ball, picks up the ball barehanded and fires to first in time for the out",2026-07-03,Miami Marlins at Athletics,,"Shea Langeliers' barehanded stop and throw Shea Langeliers' barehanded stop and throw Shea Langeliers' barehanded stop and throw Shea Langeliers hustles to a soft ground ball, picks up the ball barehanded and fires to first in time for the out",ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824982_jack-perkins-in-play-out-s-to-otto-lopez_Shea_Langeliers_barehanded_stop_and_throw_Shea_Langeliers_barehanded_stop_and_th.mp4,659c2da4f6c05e974c86a255e4e439247d4eae4731d8118e6977ca869f6ced53,gamePk=824982
MLB_825062_brice-turang-s-two-run-single,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/03/e018abc5-02bd8f06-daa146c8-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Brice Turang's two-run single Brice Turang's two-run single Brice Turang's two-run single Brice Turang singles on a sharp line drive to left scoring Christian Yelich and Jackson Chourio, extending the Brewers' lead to 7-3 over the D-backs in the top of the 11th inning",2026-07-03,Milwaukee Brewers at Arizona Diamondbacks,,"Brice Turang's two-run single Brice Turang's two-run single Brice Turang's two-run single Brice Turang singles on a sharp line drive to left scoring Christian Yelich and Jackson Chourio, extending the Brewers' lead to 7-3 over the D-backs in the top of the 11th inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_825062_brice-turang-s-two-run-single_Brice_Turang_s_two-run_single_Brice_Turang_s_two-run_single_Brice_Turang_s_two-r.mp4,30bd641c84261ecf48db2f6d82a2bbc96f2b9337723e03e910ce82732d921529,gamePk=825062
MLB_825062_gabriel-moreno-singles-on-a-ground-ball-to-right-fielder-sal-frelick-,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/03/56d50665-9ba30667-85871dbf-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Gabriel Moreno's RBI single Gabriel Moreno's RBI single Gabriel Moreno's RBI single Gabriel Moreno singles on a ground ball to right field scoring Ketel Marte, cutting the D-backs' deficit to 3-1 in the bottom of the 3rd inning",2026-07-03,Milwaukee Brewers at Arizona Diamondbacks,,"Gabriel Moreno's RBI single Gabriel Moreno's RBI single Gabriel Moreno's RBI single Gabriel Moreno singles on a ground ball to right field scoring Ketel Marte, cutting the D-backs' deficit to 3-1 in the bottom of the 3rd inning",ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_825062_gabriel-moreno-singles-on-a-ground-ball-to-right-fielder-sal-frelick-_Gabriel_Moreno_s_RBI_single_Gabriel_Moreno_s_RBI_single_Gabriel_Moreno_s_RBI_sin.mp4,a6a122868eeec8824f0ce560dff5455f3472e57ce3e405f6857534cc4017bc15,gamePk=825062
MLB_825062_jake-bauers-rbi-single-x5265,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/03/7e9dcaf5-90891a29-c8815711-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Jake Bauers' RBI single Jake Bauers' RBI single Jake Bauers' RBI single Jake Bauers singles on a line drive to right field scoring Brice Turang, increasing the Brewers' lead to 3-0 in the top of the 3rd inning",2026-07-03,Milwaukee Brewers at Arizona Diamondbacks,,"Jake Bauers' RBI single Jake Bauers' RBI single Jake Bauers' RBI single Jake Bauers singles on a line drive to right field scoring Brice Turang, increasing the Brewers' lead to 3-0 in the top of the 3rd inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_825062_jake-bauers-rbi-single-x5265_Jake_Bauers_RBI_single_Jake_Bauers_RBI_single_Jake_Bauers_RBI_single_Jake_Bauers.mp4,5cf63369f1767e1a61fdb9f21c262b60b9e3c3ee4e9535eb8d974be3168a5c3b,gamePk=825062
MLB_825062_ildemaro-vargas-singles-on-a-sharp-line-drive-to-right-fielder-blake-,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/03/8d1596d3-5a8d93ac-4e1a472e-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Ildemaro Vargas' RBI single Ildemaro Vargas' RBI single Ildemaro Vargas' RBI single Ildemaro Vargas singles on a sharp line drive to right scoring Lourdes Gurriel Jr., cutting the D-backs' deficit to 7-4 in the bottom of the 11th inning",2026-07-03,Milwaukee Brewers at Arizona Diamondbacks,,"Ildemaro Vargas' RBI single Ildemaro Vargas' RBI single Ildemaro Vargas' RBI single Ildemaro Vargas singles on a sharp line drive to right scoring Lourdes Gurriel Jr., cutting the D-backs' deficit to 7-4 in the bottom of the 11th inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_825062_ildemaro-vargas-singles-on-a-sharp-line-drive-to-right-fielder-blake-_Ildemaro_Vargas_RBI_single_Ildemaro_Vargas_RBI_single_Ildemaro_Vargas_RBI_single.mp4,d6556093645716f114239af1bc87488a18b8ef407c491a8cfde463f1a3355ec1,gamePk=825062
MLB_824499_brandon-young-in-play-out-s-to-jj-bleday-qtbjyt,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/fdc3a286-b99f33b7-9a8c5914-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Jackson Holliday's sweet spinning catch Jackson Holliday's sweet spinning catch Jackson Holliday's sweet spinning catch Jackson Holliday drops to a knee and spins to catch a hard-hit liner from JJ Bleday, recording the second out in the bottom of the 1st inning",2026-07-04,Baltimore Orioles at Cincinnati Reds,,"Jackson Holliday's sweet spinning catch Jackson Holliday's sweet spinning catch Jackson Holliday's sweet spinning catch Jackson Holliday drops to a knee and spins to catch a hard-hit liner from JJ Bleday, recording the second out in the bottom of the 1st inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824499_brandon-young-in-play-out-s-to-jj-bleday-qtbjyt_Jackson_Holliday_s_sweet_spinning_catch_Jackson_Holliday_s_sweet_spinning_catch_.mp4,4dc9bda35d38ca4819cc5bee939eecf807993d003d950f27ea74ad08570c672c,gamePk=824499
MLB_824415_grant-taylor-in-play-out-s-to-david-fry,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/d005d220-78b23e6e-0144f509-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Grant Taylor seals save, 3-1 victory Grant Taylor seals save, 3-1 victory Grant Taylor seals save, 3-1 victory Grant Taylor induces a ground ball to third base, sealing the save and securing the 3-1 victory over the Guardians",2026-07-04,Chicago White Sox at Cleveland Guardians,,"Grant Taylor seals save, 3-1 victory Grant Taylor seals save, 3-1 victory Grant Taylor seals save, 3-1 victory Grant Taylor induces a ground ball to third base, sealing the save and securing the 3-1 victory over the Guardians",ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824415_grant-taylor-in-play-out-s-to-david-fry_Grant_Taylor_seals_save_3-1_victory_Grant_Taylor_seals_save_3-1_victory_Grant_Ta.mp4,87ff922c2b8094213f8975259a45c647a9ff091702e4b53563280c76a923d943,gamePk=824415
MLB_824658_pete-crow-armstrong-singles-in-the-8th-inning,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/ca7e76e2-bf84f4ff-d055deaf-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Pete Crow-Armstrong singles in the 8th inning Pete Crow-Armstrong singles in the 8th inning Pete Crow-Armstrong singles in the 8th inning Pete Crow-Armstrong singles on a fly ball to center field in the 8th inning,2026-07-04,St. Louis Cardinals at Chicago Cubs,,Pete Crow-Armstrong singles in the 8th inning Pete Crow-Armstrong singles in the 8th inning Pete Crow-Armstrong singles in the 8th inning Pete Crow-Armstrong singles on a fly ball to center field in the 8th inning,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824658_pete-crow-armstrong-singles-in-the-8th-inning_Pete_Crow-Armstrong_singles_in_the_8th_inning_Pete_Crow-Armstrong_singles_in_the.mp4,c82ce1fb196118dde56823a1ba8f30e31085cbfe610ffa4cbd93d26904b905ef,gamePk=824658
MLB_824334_juan-mejia-in-play-out-s-to-bryce-eldridge-bglct6,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/343529c4-317750c4-ea1a9a65-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Juan Mejia escapes bases-loaded jam in the 6th Juan Mejia escapes bases-loaded jam in the 6th Juan Mejia escapes bases-loaded jam in the 6th Juan Mejia induces a fly ball caught by Jake McCarthy in foul territory to escape a bases-loaded jam in the top of the 6th,2026-07-04,San Francisco Giants at Colorado Rockies,,Juan Mejia escapes bases-loaded jam in the 6th Juan Mejia escapes bases-loaded jam in the 6th Juan Mejia escapes bases-loaded jam in the 6th Juan Mejia induces a fly ball caught by Jake McCarthy in foul territory to escape a bases-loaded jam in the top of the 6th,fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824334_juan-mejia-in-play-out-s-to-bryce-eldridge-bglct6_Juan_Mejia_escapes_bases-loaded_jam_in_the_6th_Juan_Mejia_escapes_bases-loaded_j.mp4,b949f6dfa976e06672243341884470ac9aa0fe963f26f65885c8235b4f456eb2,gamePk=824334
MLB_824334_kyle-karros-grounds-out-third-baseman-casey-schmitt-to-first-baseman-,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/168e4c6c-21b17041-8bfc136f-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Casey Schmitt throws out Kyle Karros in the 3rd Casey Schmitt throws out Kyle Karros in the 3rd Casey Schmitt throws out Kyle Karros in the 3rd Casey Schmitt fields Kyle Karros' ground ball and males the throw to first to get him out in the bottom of the 3rd,2026-07-04,San Francisco Giants at Colorado Rockies,,Casey Schmitt throws out Kyle Karros in the 3rd Casey Schmitt throws out Kyle Karros in the 3rd Casey Schmitt throws out Kyle Karros in the 3rd Casey Schmitt fields Kyle Karros' ground ball and males the throw to first to get him out in the bottom of the 3rd,ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824334_kyle-karros-grounds-out-third-baseman-casey-schmitt-to-first-baseman-_Casey_Schmitt_throws_out_Kyle_Karros_in_the_3rd_Casey_Schmitt_throws_out_Kyle_Ka.mp4,a09236e10374ecccfb370f2c7fdc51fa998d1055b9cd64dcc93b79fc94b1aef4,gamePk=824334
MLB_824983_kade-morris-in-play-out-s-to-esteury-ruiz-ao1doh,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/f4e46264-746b7043-6caf21bb-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,Joshua Kuroda-Grauer's sharp play Joshua Kuroda-Grauer's sharp play Joshua Kuroda-Grauer's sharp play Joshua Kuroda-Grauer reacts quickly to field a grounder that deflects off third base and steps on the bag for the out in the 9th inning,2026-07-04,Miami Marlins at Athletics,,Joshua Kuroda-Grauer's sharp play Joshua Kuroda-Grauer's sharp play Joshua Kuroda-Grauer's sharp play Joshua Kuroda-Grauer reacts quickly to field a grounder that deflects off third base and steps on the bag for the out in the 9th inning,ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824983_kade-morris-in-play-out-s-to-esteury-ruiz-ao1doh_Joshua_Kuroda-Grauer_s_sharp_play_Joshua_Kuroda-Grauer_s_sharp_play_Joshua_Kurod.mp4,6b1d68fa6cd3ef00da3977f81bf808f873996f04e0e5790e85f4f8d1a86744d0,gamePk=824983
MLB_824983_aaron-civale-in-play-out-s-to-jakob-marsee,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/ec4e52a8-2be39b74-cb51e982-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Alika Williams, Zack Gelof combine for unique catch Alika Williams, Zack Gelof combine for unique catch Alika Williams, Zack Gelof combine for unique catch Zack Gelof catches a fly ball that deflected off of Alika Williams' glove in shallow left field, combining to end the inning",2026-07-04,Miami Marlins at Athletics,,"Alika Williams, Zack Gelof combine for unique catch Alika Williams, Zack Gelof combine for unique catch Alika Williams, Zack Gelof combine for unique catch Zack Gelof catches a fly ball that deflected off of Alika Williams' glove in shallow left field, combining to end the inning",fly_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824983_aaron-civale-in-play-out-s-to-jakob-marsee_Alika_Williams_Zack_Gelof_combine_for_unique_catch_Alika_Williams_Zack_Gelof_com.mp4,3b3a6c7d618be87d508dbf3fef6064b243a37e60f1c6ad19baf075553f2e55e4,gamePk=824983
MLB_823932_ty-france-grounds-out-to-first-baseman-freddie-freeman,https://mlb-cuts-diamond.mlb.com/FORGE/2026/2026-07/04/0106acb9-ebebf6d5-ece997ea-csvm-diamondgcp-asset_1280x720_59_4000K.mp4,"Will Klein seals the save, Dodgers' 3-0 victory Will Klein seals the save, Dodgers' 3-0 victory Will Klein seals the save, Dodgers' 3-0 victory Will Klein induces a ground ball to first base, sealing the save and securing the Dodgers' 3-0 victory over the Padres",2026-07-04,San Diego Padres at Los Angeles Dodgers,,"Will Klein seals the save, Dodgers' 3-0 victory Will Klein seals the save, Dodgers' 3-0 victory Will Klein seals the save, Dodgers' 3-0 victory Will Klein induces a ground ball to first base, sealing the save and securing the Dodgers' 3-0 victory over the Padres",ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_823932_ty-france-grounds-out-to-first-baseman-freddie-freeman_Will_Klein_seals_the_save_Dodgers_3-0_victory_Will_Klein_seals_the_save_Dodgers_.mp4,a8fc470564560a0abedcc71b28721f4ffb4031cd28de56acd11ddc8281738792,gamePk=823932
MLB_824902_martin-perez-in-play-out-s-to-tyrone-taylor-mvutkg,https://bdata-producedclips.mlb.com/d43fc97a-b787-42a9-a4f8-167617291411.mp4,Jim Jarvis' stellar scoop Jim Jarvis' stellar scoop Jim Jarvis' stellar scoop Jim Jarvis makes an amazing scoop to field a hard hit ground ball from Tyrone Taylor and flips to second base to end the top of the 1st inning,2026-07-05,New York Mets at Atlanta Braves,,Jim Jarvis' stellar scoop Jim Jarvis' stellar scoop Jim Jarvis' stellar scoop Jim Jarvis makes an amazing scoop to field a hard hit ground ball from Tyrone Taylor and flips to second base to end the top of the 1st inning,ground_ball,MLB official public video metadata; verify redistribution rights before public release.,downloaded,raw_sources\MLB_824902_martin-perez-in-play-out-s-to-tyrone-taylor-mvutkg_Jim_Jarvis_stellar_scoop_Jim_Jarvis_stellar_scoop_Jim_Jarvis_stellar_scoop_Jim_J.mp4,adc928d2324d9a6531fc27865139acf5bfe1d294d66d0a4dd2b59a28427cc3bc,gamePk=824902
