dataset_path,sample_id,label,source_group,split
dataset/fly_ball/Codex_Workstation/F_0175,F_0175,fly_ball,MLB_746307_vinnie-pasquantino-out-on-a-sacrifice-fly-to-left-fielder-riley-green,test
dataset/fly_ball/Codex_Workstation/F_0177,F_0177,fly_ball,MLB_746880_mitch-keller-in-play-run-s-to-seiya-suzuki,train
dataset/fly_ball/Codex_Workstation/F_0180,F_0180,fly_ball,MLB_744844_mitchell-parker-in-play-out-s-to-sean-murphy-bcnz3n,train
dataset/fly_ball/Codex_Workstation/F_0181,F_0181,fly_ball,MLB_744932_isiah-kiner-falefa-lines-out-to-right-fielder-connor-joe,train
dataset/fly_ball/Codex_Workstation/F_0184,F_0184,fly_ball,MLB_745572_masyn-winn-hits-foul-ball-after-review,test
dataset/fly_ball/Codex_Workstation/F_0187,F_0187,fly_ball,MLB_746220_victor-caratini-lines-out-to-third-baseman-luis-rengifo,test
dataset/fly_ball/Codex_Workstation/F_0189,F_0189,fly_ball,MLB_747194_joc-pederson-lines-out-sharply-to-right-fielder-heliot-ramos,test
dataset/fly_ball/Codex_Workstation/F_0192,F_0192,fly_ball,MLB_745081_richie-palacios-singles-on-a-line-drive-to-center-fielder-jj-bleday-j,val
dataset/fly_ball/Codex_Workstation/F_0193,F_0193,fly_ball,MLB_745091_brent-rooker-flies-out-sharply-to-center-fielder-jonny-deluca,train
dataset/fly_ball/Codex_Workstation/F_0194,F_0194,fly_ball,MLB_745168_brendan-donovan-homers-5-on-a-fly-ball-to-right-field-syiwmy,train
dataset/fly_ball/Codex_Workstation/F_0199,F_0199,fly_ball,MLB_745327_brett-wisely-lines-out-to-first-baseman-jon-singleton,train
dataset/fly_ball/Codex_Workstation/F_0202,F_0202,fly_ball,MLB_745574_aaron-nola-in-play-out-s-to-ivan-herrera-9hb2ch,train
dataset/fly_ball/Codex_Workstation/F_0207,F_0207,fly_ball,MLB_745986_hayden-wesneski-in-play-run-s-to-jackson-chourio,val
dataset/fly_ball/Codex_Workstation/F_0211,F_0211,fly_ball,MLB_746557_ranger-suarez-in-play-out-s-to-elehuris-montero-4k8y78,train
dataset/fly_ball/Codex_Workstation/F_0212,F_0212,fly_ball,MLB_746787_martin-maldonado-flies-out-to-center-fielder-ceddanne-rafaela-vvxuuj,test
dataset/fly_ball/Codex_Workstation/F_0213,F_0213,fly_ball,MLB_746787_michael-soroka-in-play-run-s-to-jamie-westbrook,train
dataset/fly_ball/Codex_Workstation/F_0214,F_0214,fly_ball,MLB_746794_white-sox-challenge-foul-ball-call,train
dataset/fly_ball/Codex_Workstation/F_0215,F_0215,fly_ball,MLB_746954_jack-flaherty-in-play-no-out-to-rob-refsnyder,train
dataset/fly_ball/Codex_Workstation/F_0216,F_0216,fly_ball,MLB_746957_wilyer-abreu-s-circus-catch-in-right,train
dataset/fly_ball/Codex_Workstation/F_0217,F_0217,fly_ball,MLB_747024_taijuan-walker-in-play-out-s-to-colton-cowser,train
dataset/fly_ball/Codex_Workstation/F_0218,F_0218,fly_ball,MLB_747187_thyago-vieira-in-play-run-s-to-andrew-vaughn,train
dataset/fly_ball/Codex_Workstation/F_0221,F_0221,fly_ball,MLB_745073_george-kirby-in-play-no-out-to-yandy-diaz-8boxoo,train
dataset/fly_ball/Codex_Workstation/F_0222,F_0222,fly_ball,MLB_745893_carlos-santana-singles-on-a-line-drive-to-right-fielder-jonny-deluca-,val
dataset/fly_ball/Codex_Workstation/F_0225,F_0225,fly_ball,MLB_746219_luis-garcia-in-play-run-s-to-willy-adames-xbpfvw,val
dataset/fly_ball/Codex_Workstation/F_0226,F_0226,fly_ball,MLB_746376_ronel-blanco-in-play-out-s-to-colton-cowser-tg7vac,test
dataset/fly_ball/Codex_Workstation/F_0228,F_0228,fly_ball,MLB_746782_yordan-alvarez-homers-15-on-a-fly-ball-to-right-center-field-ten87f,train
dataset/fly_ball/Codex_Workstation/F_0234,F_0234,fly_ball,MLB_745478_nick-castellanos-lines-out-to-first-baseman-connor-joe,test
dataset/fly_ball/Codex_Workstation/F_0237,F_0237,fly_ball,MLB_778062_michael-lorenzen-in-play-out-s-to-cedric-mullins-dx5jmr,train
dataset/fly_ball/Codex_Workstation/F_0238,F_0238,fly_ball,MLB_778101_justyn-henry-malloy-flies-out-to-right-fielder-jorge-soler-in-foul-te,train
dataset/fly_ball/Codex_Workstation/F_0239,F_0239,fly_ball,MLB_777602_brady-singer-in-play-no-out-to-lourdes-gurriel-jr,val
dataset/fly_ball/Codex_Workstation/F_0241,F_0241,fly_ball,MLB_777606_trevor-richards-in-play-out-s-to-edgar-quero,train
dataset/fly_ball/Codex_Workstation/F_0242,F_0242,fly_ball,MLB_777630_kyle-nicolas-in-play-run-s-to-jose-altuve,test
dataset/fly_ball/Codex_Workstation/F_0243,F_0243,fly_ball,MLB_777653_clarke-schmidt-in-play-out-s-to-nolan-jones-nrqhp3,test
dataset/fly_ball/Codex_Workstation/F_0244,F_0244,fly_ball,MLB_777666_jesus-sanchez-lines-out-to-shortstop-orlando-arcia,test
dataset/fly_ball/Codex_Workstation/F_0246,F_0246,fly_ball,MLB_777677_keider-montero-in-play-no-out-to-bobby-witt-jr,test
dataset/fly_ball/Codex_Workstation/F_0248,F_0248,fly_ball,MLB_777798_lake-bachar-in-play-run-s-to-luis-rengifo,train
dataset/fly_ball/Codex_Workstation/F_0249,F_0249,fly_ball,MLB_777803_jackson-merrill-lines-out-to-center-fielder-michael-harris-ii,val
dataset/fly_ball/Codex_Workstation/F_0250,F_0250,fly_ball,MLB_777805_tyler-mahle-in-play-run-s-to-andrew-benintendi,val
dataset/fly_ball/Codex_Workstation/F_0251,F_0251,fly_ball,MLB_777811_matt-shaw-lines-out-sharply-to-second-baseman-matt-mclain,test
dataset/fly_ball/Codex_Workstation/F_0255,F_0255,fly_ball,MLB_777163_justin-verlander-in-play-out-s-to-kyle-schwarber-6n8fhc,test
dataset/fly_ball/Codex_Workstation/F_0256,F_0256,fly_ball,MLB_777205_nick-gonzales-lines-out-sharply-to-first-baseman-luke-raley,train
dataset/fly_ball/Codex_Workstation/F_0257,F_0257,fly_ball,MLB_777238_javier-sanoja-lines-out-to-shortstop-joey-ortiz,train
dataset/fly_ball/Codex_Workstation/F_0258,F_0258,fly_ball,MLB_777278_dominic-smith-lines-out-sharply-to-second-baseman-ketel-marte,test
dataset/fly_ball/Codex_Workstation/F_0260,F_0260,fly_ball,MLB_777331_hector-neris-in-play-out-s-to-luis-garcia-jr,train
dataset/fly_ball/Codex_Workstation/F_0261,F_0261,fly_ball,MLB_777331_jake-irvin-in-play-out-s-to-taylor-ward,test
dataset/fly_ball/Codex_Workstation/F_0264,F_0264,fly_ball,MLB_777411_cade-smith-in-play-out-s-to-jacob-wilson,train
dataset/fly_ball/Codex_Workstation/F_0266,F_0266,fly_ball,MLB_777482_joey-ortiz-lines-out-sharply-to-left-fielder-ian-happ,train
dataset/fly_ball/Codex_Workstation/F_0267,F_0267,fly_ball,MLB_777503_mackenzie-gore-in-play-run-s-to-eric-wagaman,train
dataset/fly_ball/Codex_Workstation/F_0268,F_0268,fly_ball,MLB_777511_tyler-soderstrom-lines-out-to-left-fielder-mark-canha,train
dataset/fly_ball/Codex_Workstation/F_0269,F_0269,fly_ball,MLB_777525_erick-fedde-in-play-run-s-to-william-contreras-kkfemm,train
dataset/fly_ball/Codex_Workstation/F_0270,F_0270,fly_ball,MLB_777533_willi-castro-s-rbi-double-x5234,val
dataset/fly_ball/Codex_Workstation/F_0271,F_0271,fly_ball,MLB_777543_randy-vasquez-in-play-out-s-to-max-muncy-vrkmpk,train
dataset/fly_ball/Codex_Workstation/F_0273,F_0273,fly_ball,MLB_777552_agustin-ramirez-lines-out-sharply-to-right-fielder-bryan-reynolds,test
dataset/fly_ball/Codex_Workstation/F_0274,F_0274,fly_ball,MLB_777557_jorge-alcala-in-play-run-s-to-adolis-garcia,train
dataset/fly_ball/Codex_Workstation/F_0275,F_0275,fly_ball,MLB_777557_kody-clemens-lines-out-sharply-to-center-fielder-evan-carter,train
dataset/fly_ball/Codex_Workstation/F_0277,F_0277,fly_ball,MLB_777568_isaac-collins-lines-out-to-pitcher-aaron-bummer,train
dataset/fly_ball/Codex_Workstation/F_0278,F_0278,fly_ball,MLB_777576_mike-trout-out-on-a-sacrifice-fly-to-center-fielder-jj-bleday-zach-ne,train
dataset/fly_ball/Codex_Workstation/F_0279,F_0279,fly_ball,MLB_776745_liam-hicks-lines-out-to-shortstop-gabriel-arias,train
dataset/fly_ball/Codex_Workstation/F_0280,F_0280,fly_ball,MLB_776747_joey-loperfido-lines-out-to-pitcher-matthew-boyd,train
dataset/fly_ball/Codex_Workstation/F_0283,F_0283,fly_ball,MLB_776950_jose-altuve-lines-out-to-shortstop-cj-abrams,train
dataset/fly_ball/Codex_Workstation/F_0284,F_0284,fly_ball,MLB_776952_daniel-robert-in-play-out-s-to-mike-tauchman,val
dataset/fly_ball/Codex_Workstation/F_0285,F_0285,fly_ball,MLB_776945_gustavo-campero-flies-into-a-force-out-right-fielder-adolis-garcia-to,train
dataset/fly_ball/Codex_Workstation/F_0286,F_0286,fly_ball,MLB_776835_devin-williams-in-play-out-s-to-yainer-diaz,train
dataset/fly_ball/Codex_Workstation/F_0288,F_0288,fly_ball,MLB_776686_michael-mcgreevy-in-play-out-s-to-heriberto-hernandez,train
dataset/fly_ball/Codex_Workstation/F_0289,F_0289,fly_ball,MLB_776837_tyler-soderstrom-lines-out-sharply-to-left-fielder-daylen-lile,train
dataset/fly_ball/Codex_Workstation/F_0290,F_0290,fly_ball,MLB_776886_bradley-blalock-in-play-run-s-to-tommy-pham,test
dataset/fly_ball/Codex_Workstation/F_0291,F_0291,fly_ball,MLB_776914_brent-rooker-out-on-a-sacrifice-fly-to-right-fielder-corbin-carroll-l,test
dataset/fly_ball/Codex_Workstation/F_0292,F_0292,fly_ball,MLB_776209_michael-soroka-in-play-run-s-to-pete-alonso,test
dataset/fly_ball/Codex_Workstation/F_0293,F_0293,fly_ball,MLB_776362_bryce-miller-in-play-run-s-to-chris-taylor-52pmuk,test
dataset/fly_ball/Codex_Workstation/F_0296,F_0296,fly_ball,MLB_776606_chandler-simpson-triples-3-on-a-line-drive-to-center-fielder-lars-noo,train
dataset/fly_ball/Codex_Workstation/F_0297,F_0297,fly_ball,MLB_776640_christian-moore-flies-out-to-right-fielder-kyle-tucker-in-foul-territ,train
dataset/fly_ball/Codex_Workstation/F_0298,F_0298,fly_ball,MLB_776640_tyler-anderson-in-play-out-s-to-ian-happ-4te5du,val
dataset/fly_ball/Codex_Workstation/F_0304,F_0304,fly_ball,MLB_745069_yandy-diaz-lines-out-sharply-to-center-fielder-trent-grisham,train
dataset/fly_ball/Codex_Workstation/F_0308,F_0308,fly_ball,MLB_745313_mike-yastrzemski-homers-8-on-a-fly-ball-to-right-field-3ey8hw,test
dataset/fly_ball/Codex_Workstation/F_0316,F_0316,fly_ball,MLB_745893_max-kepler-homers-6-on-a-fly-ball-to-center-field,train
dataset/fly_ball/Codex_Workstation/F_0318,F_0318,fly_ball,MLB_746122_willy-adames-hits-a-foul-after-review,test
dataset/fly_ball/Codex_Workstation/F_0321,F_0321,fly_ball,MLB_746363_bryan-de-la-cruz-singles-on-a-sharp-line-drive-to-center-fielder-jake,val
dataset/fly_ball/Codex_Workstation/F_0332,F_0332,fly_ball,MLB_746688_austin-slater-lines-out-to-first-baseman-michael-toglia,train
dataset/fly_ball/Codex_Workstation/F_0336,F_0336,fly_ball,MLB_746846_ryan-helsley-in-play-out-s-to-nico-hoerner-du17t6,train
dataset/fly_ball/Codex_Workstation/F_0337,F_0337,fly_ball,MLB_746849_cody-bellinger-homers-11-on-a-fly-ball-to-center-field,train
dataset/fly_ball/Codex_Workstation/F_0338,F_0338,fly_ball,MLB_746849_mike-tauchman-doubles-11-on-a-line-drive-to-left-fielder-tommy-pham-d,train
dataset/fly_ball/Codex_Workstation/F_0339,F_0339,fly_ball,MLB_746935_connor-wong-homers-8-on-a-fly-ball-to-left-center-field,train
dataset/fly_ball/Codex_Workstation/F_0340,F_0340,fly_ball,MLB_746935_luis-medina-in-play-run-s-to-wilyer-abreu,train
dataset/fly_ball/Codex_Workstation/F_0341,F_0341,fly_ball,MLB_746935_oak-bos-656e70,train
dataset/fly_ball/Codex_Workstation/F_0342,F_0342,fly_ball,MLB_746935_wilyer-abreu-homers-8-on-a-fly-ball-to-center-field-x4yzbm,val
dataset/fly_ball/Codex_Workstation/F_0346,F_0346,fly_ball,MLB_776718_darell-hernaiz-singles-on-a-line-drive-to-center-fielder-bryce-teodos,train
dataset/fly_ball/Codex_Workstation/F_0353,F_0353,fly_ball,MLB_776945_jonah-heim-lines-out-to-shortstop-zach-neto,test
dataset/fly_ball/Codex_Workstation/F_0359,F_0359,fly_ball,MLB_776963_miguel-rojas-lines-out-to-pitcher-tony-santillan,val
dataset/fly_ball/Codex_Workstation/F_0360,F_0360,fly_ball,MLB_776970_tim-hill-in-play-run-s-to-yandy-diaz,test
dataset/fly_ball/Codex_Workstation/F_0362,F_0362,fly_ball,MLB_776992_matthew-liberatore-in-play-out-s-to-fernando-tatis-jr,val
dataset/fly_ball/Codex_Workstation/F_0363,F_0363,fly_ball,MLB_776992_randy-vasquez-in-play-out-s-to-victor-scott-ii-hthx4r,train
dataset/fly_ball/Codex_Workstation/F_0366,F_0366,fly_ball,MLB_777001_edmundo-sosa-leaves-the-game-after-collision,val
dataset/fly_ball/Codex_Workstation/F_0374,F_0374,fly_ball,MLB_777041_spencer-strider-in-play-out-s-to-dominic-smith-n7tr5w,train
dataset/fly_ball/Codex_Workstation/F_0375,F_0375,fly_ball,MLB_777042_andry-lara-in-play-out-s-to-tyler-stephenson,train
dataset/fly_ball/Codex_Workstation/F_0376,F_0376,fly_ball,MLB_777042_josh-bell-homers-13-on-a-fly-ball-to-right-field,train
dataset/fly_ball/Codex_Workstation/F_0379,F_0379,fly_ball,MLB_777054_jorge-soler-homers-12-on-a-fly-ball-to-left-field-3et58t,test
dataset/fly_ball/Codex_Workstation/F_0384,F_0384,fly_ball,MLB_777062_randy-vasquez-in-play-out-s-to-agustin-ramirez-u0f7py,train
dataset/fly_ball/Codex_Workstation/F_0388,F_0388,fly_ball,MLB_777070_mookie-betts-lines-out-sharply-to-center-fielder-blake-perkins,train
dataset/fly_ball/Codex_Workstation/F_0390,F_0390,fly_ball,MLB_777075_garrett-crochet-in-play-out-s-to-nico-hoerner,train
dataset/fly_ball/Codex_Workstation/F_0393,F_0393,fly_ball,MLB_777083_grant-holmes-in-play-out-s-to-jazz-chisholm-jr,train
dataset/fly_ball/Codex_Workstation/F_0397,F_0397,fly_ball,MLB_777101_colin-rea-in-play-out-s-to-alex-bregman-8iqslk,train
dataset/fly_ball/Codex_Workstation/F_0398,F_0398,fly_ball,MLB_777103_quinn-priester-in-play-out-s-to-will-smith,train
dataset/fly_ball/Codex_Workstation/F_0400,F_0400,fly_ball,MLB_777126_brandon-marsh-lines-out-sharply-to-left-fielder-gavin-sheets,train
dataset/fly_ball/Codex_Workstation/F_0401,F_0401,fly_ball,MLB_777131_yusei-kikuchi-in-play-no-out-to-josh-naylor-bsszlb,train
dataset/fly_ball/Codex_Workstation/F_0408,F_0408,fly_ball,MLB_777173_ian-happ-flies-out-to-left-fielder-willi-castro-in-foul-territory,train
dataset/fly_ball/Codex_Workstation/F_0410,F_0410,fly_ball,MLB_777178_mackenzie-gore-in-play-out-s-to-victor-scott-ii,train
dataset/fly_ball/Codex_Workstation/F_0414,F_0414,fly_ball,MLB_777226_carlos-hernandez-in-play-run-s-to-steven-kwan,train
dataset/fly_ball/Codex_Workstation/F_0416,F_0416,fly_ball,MLB_777236_bryan-woo-in-play-out-s-to-oneil-cruz-tm6yvw-x8409,train
dataset/fly_ball/Codex_Workstation/F_0418,F_0418,fly_ball,MLB_777253_dustin-may-in-play-out-s-to-josh-rojas-jtfhtu,train
dataset/fly_ball/Codex_Workstation/F_0426,F_0426,fly_ball,MLB_777300_elly-de-la-cruz-flies-out-to-left-fielder-jarren-duran,test
dataset/fly_ball/Codex_Workstation/F_0430,F_0430,fly_ball,MLB_777317_kevin-kelly-in-play-run-s-to-cedric-mullins,val
dataset/fly_ball/Codex_Workstation/F_0434,F_0434,fly_ball,MLB_777338_tyler-rogers-in-play-out-s-to-lenyn-sosa,train
dataset/fly_ball/Codex_Workstation/F_0438,F_0438,fly_ball,MLB_777348_third-base-umpire-okay-after-line-drive-hit,train
dataset/fly_ball/Codex_Workstation/F_0440,F_0440,fly_ball,MLB_777383_ryne-nelson-in-play-out-s-to-edgar-quero,train
dataset/fly_ball/Codex_Workstation/F_0441,F_0441,fly_ball,MLB_777383_ryne-nelson-in-play-out-s-to-ryan-noda,train
dataset/fly_ball/Codex_Workstation/F_0442,F_0442,fly_ball,MLB_777389_paul-blackburn-in-play-out-s-to-michael-harris-ii-cqoc4x-x4296,train
dataset/fly_ball/Codex_Workstation/F_0444,F_0444,fly_ball,MLB_777406_jazz-chisholm-jr-lifts-yankees-with-go-ahead-double,train
dataset/fly_ball/Codex_Workstation/F_0445,F_0445,fly_ball,MLB_777411_hunter-gaddis-in-play-run-s-to-max-muncy,train
dataset/fly_ball/Codex_Workstation/F_0447,F_0447,fly_ball,MLB_777429_carlos-santana-lines-out-to-center-fielder-denzel-clarke-jcsdxm-x1899,train
dataset/fly_ball/Codex_Workstation/F_0452,F_0452,fly_ball,MLB_777470_paul-blackburn-in-play-run-s-to-marcell-ozuna,train
dataset/fly_ball/Codex_Workstation/F_0459,F_0459,fly_ball,MLB_777593_hunter-dobbins-in-play-out-s-to-ben-rice,val
dataset/fly_ball/Codex_Workstation/F_0467,F_0467,fly_ball,MLB_777651_jordan-romano-in-play-run-s-to-alejandro-kirk,test
dataset/fly_ball/Codex_Workstation/F_0476,F_0476,fly_ball,MLB_777700_kyle-farmer-flies-out-to-center-fielder-tyrone-taylor,train
dataset/fly_ball/Codex_Workstation/F_0479,F_0479,fly_ball,MLB_777708_max-fried-in-play-out-s-to-will-smith-dpb6p2,train
dataset/fly_ball/Codex_Workstation/F_0480,F_0480,fly_ball,MLB_777708_tony-gonsolin-in-play-out-s-to-jorbit-vivas-txr77w,test
dataset/fly_ball/Codex_Workstation/F_0483,F_0483,fly_ball,MLB_777716_george-springer-flies-out-sharply-to-center-fielder-denzel-clarke,test
dataset/fly_ball/Codex_Workstation/F_0488,F_0488,fly_ball,MLB_777719_sean-murphy-lines-out-sharply-to-third-baseman-marcelo-mayer,val
dataset/fly_ball/Codex_Workstation/F_0489,F_0489,fly_ball,MLB_777730_luis-garcia-jr-lines-out-to-center-fielder-julio-rodriguez,train
dataset/fly_ball/Codex_Workstation/F_0490,F_0490,fly_ball,MLB_777745_paul-goldschmidt-lines-out-to-left-fielder-chris-taylor,test
dataset/fly_ball/Codex_Workstation/F_0493,F_0493,fly_ball,MLB_777752_christian-walker-lines-out-sharply-to-left-fielder-tyler-soderstrom,train
dataset/fly_ball/Codex_Workstation/F_0494,F_0494,fly_ball,MLB_777754_ivan-herrera-lines-out-sharply-to-shortstop-gunnar-henderson,train
dataset/fly_ball/Codex_Workstation/F_0496,F_0496,fly_ball,MLB_777769_yoshinobu-yamamoto-in-play-no-out-to-jose-ramirez,train
dataset/fly_ball/Codex_Workstation/F_0498,F_0498,fly_ball,MLB_777811_julian-merryweather-in-play-run-s-to-tyler-stephenson,train
dataset/fly_ball/Codex_Workstation/F_0499,F_0499,fly_ball,MLB_777827_andre-pallante-in-play-run-s-to-colt-keith-x4456,train
dataset/fly_ball/Codex_Workstation/F_0504,F_0504,fly_ball,MLB_777861_kody-clemens-rbi-triple,test
dataset/fly_ball/Codex_Workstation/F_0508,F_0508,fly_ball,MLB_777958_addison-barger-homers-1-on-a-line-drive-to-right-field,train
dataset/fly_ball/Codex_Workstation/F_0509,F_0509,fly_ball,MLB_777961_tyler-anderson-in-play-run-s-to-maverick-handley,train
dataset/fly_ball/Codex_Workstation/F_0515,F_0515,fly_ball,MLB_778017_eric-wagaman-starts-double-play,test
dataset/fly_ball/Codex_Workstation/F_0516,F_0516,fly_ball,MLB_778026_matt-festa-in-play-run-s-to-jacob-young,train
dataset/fly_ball/Codex_Workstation/F_0520,F_0520,fly_ball,MLB_778063_jarren-duran-lines-out-sharply-to-left-fielder-trevor-larnach,val
