global_index,sample_id,main_relative_path,before_event_start,before_event_end,candidate_time,after_event_start,after_event_end,crosscheck_model,crosscheck_decision,outcome,failure_reason
1097,F_1207,dataset/fly_ball/Codex_Workstation/F_1207,1.750,1.850,1.832,1.782,1.882,qwen-omni-turbo,confirm,metadata_time_correction,
1096,F_1206,dataset/fly_ball/Codex_Workstation/F_1206,1.950,2.050,2.023,1.973,2.073,qwen-omni-turbo,confirm,metadata_time_correction,
1095,F_1205,dataset/fly_ball/Codex_Workstation/F_1205,1.950,2.050,2.023,1.973,2.073,qwen-omni-turbo,confirm,metadata_time_correction,
1094,F_1204,dataset/fly_ball/Codex_Workstation/F_1204,1.070,1.170,1.138,1.088,1.188,qwen-omni-turbo,confirm,metadata_time_correction,
1088,F_1198,dataset/fly_ball/Codex_Workstation/F_1198,1.130,1.230,1.202,1.152,1.252,qwen-omni-turbo,confirm,metadata_time_correction,
1087,F_1197,dataset/fly_ball/Codex_Workstation/F_1197,3.877,3.977,0.728,0.678,0.778,qwen-omni-turbo,confirm,metadata_time_correction,
1086,F_1196,dataset/fly_ball/Codex_Workstation/F_1196,1.710,1.810,1.798,1.748,1.848,qwen-omni-turbo,confirm,metadata_time_correction,
1080,F_1190,dataset/fly_ball/Codex_Workstation/F_1190,1.950,2.050,2.017,1.967,2.067,qwen-omni-turbo,confirm,metadata_time_correction,
1074,F_1184,dataset/fly_ball/Codex_Workstation/F_1184,1.950,2.050,2.027,1.977,2.077,qwen3.5-omni-plus,confirm,metadata_time_correction,
1068,F_1178,dataset/fly_ball/Codex_Workstation/F_1178,1.950,2.050,0.087,0.037,0.137,qwen3.5-omni-plus,confirm,metadata_time_correction,
1064,F_1172,dataset/fly_ball/Codex_Workstation/F_1172,0.750,0.850,0.827,0.777,0.877,qwen3.5-omni-plus,confirm,metadata_time_correction,
1061,F_1169,dataset/fly_ball/Codex_Workstation/F_1169,1.950,2.050,2.023,1.973,2.073,qwen3.5-omni-plus,confirm,metadata_time_correction,
1054,F_1162,dataset/fly_ball/Codex_Workstation/F_1162,1.010,1.110,1.077,1.027,1.127,qwen3.5-omni-plus,confirm,metadata_time_correction,
1050,F_1158,dataset/fly_ball/Codex_Workstation/F_1158,1.650,1.750,1.722,1.672,1.772,qwen3.5-omni-plus,confirm,metadata_time_correction,
1049,F_1157,dataset/fly_ball/Codex_Workstation/F_1157,1.950,2.050,1.188,1.138,1.238,qwen3.5-omni-plus,confirm,metadata_time_correction,
1048,F_1156,dataset/fly_ball/Codex_Workstation/F_1156,1.810,1.910,1.878,1.828,1.928,qwen3.5-omni-plus,confirm,metadata_time_correction,
1046,F_1153,dataset/fly_ball/Codex_Workstation/F_1153,2.954,3.054,0.198,0.148,0.248,qwen3.5-omni-plus,confirm,metadata_time_correction,
1040,F_1146,dataset/fly_ball/Codex_Workstation/F_1146,1.310,1.410,1.383,1.333,1.433,qwen3.5-omni-plus,confirm,metadata_time_correction,
1038,F_1144,dataset/fly_ball/Codex_Workstation/F_1144,1.950,2.050,5.262,5.212,5.312,qwen3.5-omni-plus,confirm,metadata_time_correction,
1035,F_1141,dataset/fly_ball/Codex_Workstation/F_1141,1.950,2.050,1.058,1.008,1.108,qwen3.5-omni-plus,confirm,metadata_time_correction,
1030,F_1136,dataset/fly_ball/Codex_Workstation/F_1136,1.530,1.630,1.587,1.537,1.637,qwen3.5-omni-plus,confirm,metadata_time_correction,
1029,F_1135,dataset/fly_ball/Codex_Workstation/F_1135,1.790,1.890,1.847,1.797,1.897,qwen3.5-omni-plus,confirm,metadata_time_correction,
1028,F_1134,dataset/fly_ball/Codex_Workstation/F_1134,1.870,1.970,1.933,1.883,1.983,qwen3.5-omni-plus,confirm,metadata_time_correction,
1026,F_1132,dataset/fly_ball/Codex_Workstation/F_1132,1.970,2.070,2.037,1.987,2.087,qwen3.5-omni-plus,confirm,metadata_time_correction,
1023,F_1129,dataset/fly_ball/Codex_Workstation/F_1129,1.610,1.710,1.673,1.623,1.723,qwen3.5-omni-plus,confirm,metadata_time_correction,
1022,F_1128,dataset/fly_ball/Codex_Workstation/F_1128,5.850,5.950,1.293,1.243,1.343,qwen3.5-omni-plus,confirm,metadata_time_correction,
1019,F_1125,dataset/fly_ball/Codex_Workstation/F_1125,1.970,2.070,2.027,1.977,2.077,qwen3.5-omni-plus,confirm,metadata_time_correction,
1007,F_1110,dataset/fly_ball/Codex_Workstation/F_1110,1.950,2.050,1.222,1.172,1.272,qwen3.5-omni-plus,confirm,metadata_time_correction,
1005,F_1108,dataset/fly_ball/Codex_Workstation/F_1108,1.950,2.050,1.222,1.172,1.272,qwen3.5-omni-plus,confirm,metadata_time_correction,
969,F_1065,dataset/fly_ball/Codex_Workstation/F_1065,1.950,2.050,0.023,0.000,0.073,qwen3.5-omni-plus,confirm,metadata_time_correction,
