global_index,collector,sample_id,main_relative_path,source_txt_path,before_event_start,before_event_end,reason_category,required_next_action,status
1150,Codex_Workstation,F_1265,dataset/fly_ball/Codex_Workstation/F_1265,dataset/fly_ball/Codex_Workstation/F_1265/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1149,Codex_Workstation,F_1264,dataset/fly_ball/Codex_Workstation/F_1264,dataset/fly_ball/Codex_Workstation/F_1264/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1148,Codex_Workstation,F_1263,dataset/fly_ball/Codex_Workstation/F_1263,dataset/fly_ball/Codex_Workstation/F_1263/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1147,Codex_Workstation,F_1262,dataset/fly_ball/Codex_Workstation/F_1262,dataset/fly_ball/Codex_Workstation/F_1262/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1146,Codex_Workstation,F_1261,dataset/fly_ball/Codex_Workstation/F_1261,dataset/fly_ball/Codex_Workstation/F_1261/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1145,Codex_Workstation,F_1260,dataset/fly_ball/Codex_Workstation/F_1260,dataset/fly_ball/Codex_Workstation/F_1260/source.txt,5.543,5.643,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1144,Codex_Workstation,F_1258,dataset/fly_ball/Codex_Workstation/F_1258,dataset/fly_ball/Codex_Workstation/F_1258/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1143,Codex_Workstation,F_1257,dataset/fly_ball/Codex_Workstation/F_1257,dataset/fly_ball/Codex_Workstation/F_1257/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1142,Codex_Workstation,F_1255,dataset/fly_ball/Codex_Workstation/F_1255,dataset/fly_ball/Codex_Workstation/F_1255/source.txt,3.066,3.166,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1141,Codex_Workstation,F_1254,dataset/fly_ball/Codex_Workstation/F_1254,dataset/fly_ball/Codex_Workstation/F_1254/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1140,Codex_Workstation,F_1253,dataset/fly_ball/Codex_Workstation/F_1253,dataset/fly_ball/Codex_Workstation/F_1253/source.txt,3.964,4.064,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1139,Codex_Workstation,F_1252,dataset/fly_ball/Codex_Workstation/F_1252,dataset/fly_ball/Codex_Workstation/F_1252/source.txt,6.615,6.715,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1138,Codex_Workstation,F_1251,dataset/fly_ball/Codex_Workstation/F_1251,dataset/fly_ball/Codex_Workstation/F_1251/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1136,Codex_Workstation,F_1249,dataset/fly_ball/Codex_Workstation/F_1249,dataset/fly_ball/Codex_Workstation/F_1249/source.txt,3.601,3.701,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1135,Codex_Workstation,F_1248,dataset/fly_ball/Codex_Workstation/F_1248,dataset/fly_ball/Codex_Workstation/F_1248/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1134,Codex_Workstation,F_1247,dataset/fly_ball/Codex_Workstation/F_1247,dataset/fly_ball/Codex_Workstation/F_1247/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1132,Codex_Workstation,F_1245,dataset/fly_ball/Codex_Workstation/F_1245,dataset/fly_ball/Codex_Workstation/F_1245/source.txt,5.589,5.689,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1131,Codex_Workstation,F_1244,dataset/fly_ball/Codex_Workstation/F_1244,dataset/fly_ball/Codex_Workstation/F_1244/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1130,Codex_Workstation,F_1243,dataset/fly_ball/Codex_Workstation/F_1243,dataset/fly_ball/Codex_Workstation/F_1243/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1129,Codex_Workstation,F_1242,dataset/fly_ball/Codex_Workstation/F_1242,dataset/fly_ball/Codex_Workstation/F_1242/source.txt,1.950,2.050,candidate_rejected_by_independent_review,recover source and replace only after a new full review,pending_source_recovery
1128,Codex_Workstation,F_1240,dataset/fly_ball/Codex_Workstation/F_1240,dataset/fly_ball/Codex_Workstation/F_1240/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1127,Codex_Workstation,F_1239,dataset/fly_ball/Codex_Workstation/F_1239,dataset/fly_ball/Codex_Workstation/F_1239/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1126,Codex_Workstation,F_1238,dataset/fly_ball/Codex_Workstation/F_1238,dataset/fly_ball/Codex_Workstation/F_1238/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1125,Codex_Workstation,F_1237,dataset/fly_ball/Codex_Workstation/F_1237,dataset/fly_ball/Codex_Workstation/F_1237/source.txt,3.555,3.655,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1124,Codex_Workstation,F_1235,dataset/fly_ball/Codex_Workstation/F_1235,dataset/fly_ball/Codex_Workstation/F_1235/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1123,Codex_Workstation,F_1234,dataset/fly_ball/Codex_Workstation/F_1234,dataset/fly_ball/Codex_Workstation/F_1234/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1122,Codex_Workstation,F_1233,dataset/fly_ball/Codex_Workstation/F_1233,dataset/fly_ball/Codex_Workstation/F_1233/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1121,Codex_Workstation,F_1232,dataset/fly_ball/Codex_Workstation/F_1232,dataset/fly_ball/Codex_Workstation/F_1232/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1118,Codex_Workstation,F_1229,dataset/fly_ball/Codex_Workstation/F_1229,dataset/fly_ball/Codex_Workstation/F_1229/source.txt,1.170,1.270,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1117,Codex_Workstation,F_1228,dataset/fly_ball/Codex_Workstation/F_1228,dataset/fly_ball/Codex_Workstation/F_1228/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1116,Codex_Workstation,F_1227,dataset/fly_ball/Codex_Workstation/F_1227,dataset/fly_ball/Codex_Workstation/F_1227/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1114,Codex_Workstation,F_1225,dataset/fly_ball/Codex_Workstation/F_1225,dataset/fly_ball/Codex_Workstation/F_1225/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1113,Codex_Workstation,F_1224,dataset/fly_ball/Codex_Workstation/F_1224,dataset/fly_ball/Codex_Workstation/F_1224/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1112,Codex_Workstation,F_1223,dataset/fly_ball/Codex_Workstation/F_1223,dataset/fly_ball/Codex_Workstation/F_1223/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1109,Codex_Workstation,F_1220,dataset/fly_ball/Codex_Workstation/F_1220,dataset/fly_ball/Codex_Workstation/F_1220/source.txt,3.860,3.960,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1108,Codex_Workstation,F_1219,dataset/fly_ball/Codex_Workstation/F_1219,dataset/fly_ball/Codex_Workstation/F_1219/source.txt,3.456,3.556,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1107,Codex_Workstation,F_1218,dataset/fly_ball/Codex_Workstation/F_1218,dataset/fly_ball/Codex_Workstation/F_1218/source.txt,4.096,4.196,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1104,Codex_Workstation,F_1214,dataset/fly_ball/Codex_Workstation/F_1214,dataset/fly_ball/Codex_Workstation/F_1214/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1101,Codex_Workstation,F_1211,dataset/fly_ball/Codex_Workstation/F_1211,dataset/fly_ball/Codex_Workstation/F_1211/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1100,Codex_Workstation,F_1210,dataset/fly_ball/Codex_Workstation/F_1210,dataset/fly_ball/Codex_Workstation/F_1210/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1099,Codex_Workstation,F_1209,dataset/fly_ball/Codex_Workstation/F_1209,dataset/fly_ball/Codex_Workstation/F_1209/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1098,Codex_Workstation,F_1208,dataset/fly_ball/Codex_Workstation/F_1208,dataset/fly_ball/Codex_Workstation/F_1208/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1093,Codex_Workstation,F_1203,dataset/fly_ball/Codex_Workstation/F_1203,dataset/fly_ball/Codex_Workstation/F_1203/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1092,Codex_Workstation,F_1202,dataset/fly_ball/Codex_Workstation/F_1202,dataset/fly_ball/Codex_Workstation/F_1202/source.txt,6.316,6.416,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1091,Codex_Workstation,F_1201,dataset/fly_ball/Codex_Workstation/F_1201,dataset/fly_ball/Codex_Workstation/F_1201/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1090,Codex_Workstation,F_1200,dataset/fly_ball/Codex_Workstation/F_1200,dataset/fly_ball/Codex_Workstation/F_1200/source.txt,5.717,5.817,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1089,Codex_Workstation,F_1199,dataset/fly_ball/Codex_Workstation/F_1199,dataset/fly_ball/Codex_Workstation/F_1199/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1085,Codex_Workstation,F_1195,dataset/fly_ball/Codex_Workstation/F_1195,dataset/fly_ball/Codex_Workstation/F_1195/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1084,Codex_Workstation,F_1194,dataset/fly_ball/Codex_Workstation/F_1194,dataset/fly_ball/Codex_Workstation/F_1194/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1083,Codex_Workstation,F_1193,dataset/fly_ball/Codex_Workstation/F_1193,dataset/fly_ball/Codex_Workstation/F_1193/source.txt,3.341,3.441,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1082,Codex_Workstation,F_1192,dataset/fly_ball/Codex_Workstation/F_1192,dataset/fly_ball/Codex_Workstation/F_1192/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1081,Codex_Workstation,F_1191,dataset/fly_ball/Codex_Workstation/F_1191,dataset/fly_ball/Codex_Workstation/F_1191/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1079,Codex_Workstation,F_1189,dataset/fly_ball/Codex_Workstation/F_1189,dataset/fly_ball/Codex_Workstation/F_1189/source.txt,6.429,6.529,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1078,Codex_Workstation,F_1188,dataset/fly_ball/Codex_Workstation/F_1188,dataset/fly_ball/Codex_Workstation/F_1188/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1077,Codex_Workstation,F_1187,dataset/fly_ball/Codex_Workstation/F_1187,dataset/fly_ball/Codex_Workstation/F_1187/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1076,Codex_Workstation,F_1186,dataset/fly_ball/Codex_Workstation/F_1186,dataset/fly_ball/Codex_Workstation/F_1186/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1075,Codex_Workstation,F_1185,dataset/fly_ball/Codex_Workstation/F_1185,dataset/fly_ball/Codex_Workstation/F_1185/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1073,Codex_Workstation,F_1183,dataset/fly_ball/Codex_Workstation/F_1183,dataset/fly_ball/Codex_Workstation/F_1183/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1072,Codex_Workstation,F_1182,dataset/fly_ball/Codex_Workstation/F_1182,dataset/fly_ball/Codex_Workstation/F_1182/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1071,Codex_Workstation,F_1181,dataset/fly_ball/Codex_Workstation/F_1181,dataset/fly_ball/Codex_Workstation/F_1181/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1070,Codex_Workstation,F_1180,dataset/fly_ball/Codex_Workstation/F_1180,dataset/fly_ball/Codex_Workstation/F_1180/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1069,Codex_Workstation,F_1179,dataset/fly_ball/Codex_Workstation/F_1179,dataset/fly_ball/Codex_Workstation/F_1179/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1067,Codex_Workstation,F_1177,dataset/fly_ball/Codex_Workstation/F_1177,dataset/fly_ball/Codex_Workstation/F_1177/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1066,Codex_Workstation,F_1175,dataset/fly_ball/Codex_Workstation/F_1175,dataset/fly_ball/Codex_Workstation/F_1175/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1065,Codex_Workstation,F_1174,dataset/fly_ball/Codex_Workstation/F_1174,dataset/fly_ball/Codex_Workstation/F_1174/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1063,Codex_Workstation,F_1171,dataset/fly_ball/Codex_Workstation/F_1171,dataset/fly_ball/Codex_Workstation/F_1171/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1062,Codex_Workstation,F_1170,dataset/fly_ball/Codex_Workstation/F_1170,dataset/fly_ball/Codex_Workstation/F_1170/source.txt,5.102,5.202,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1060,Codex_Workstation,F_1168,dataset/fly_ball/Codex_Workstation/F_1168,dataset/fly_ball/Codex_Workstation/F_1168/source.txt,6.022,6.122,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1059,Codex_Workstation,F_1167,dataset/fly_ball/Codex_Workstation/F_1167,dataset/fly_ball/Codex_Workstation/F_1167/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1058,Codex_Workstation,F_1166,dataset/fly_ball/Codex_Workstation/F_1166,dataset/fly_ball/Codex_Workstation/F_1166/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1057,Codex_Workstation,F_1165,dataset/fly_ball/Codex_Workstation/F_1165,dataset/fly_ball/Codex_Workstation/F_1165/source.txt,2.905,3.005,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1056,Codex_Workstation,F_1164,dataset/fly_ball/Codex_Workstation/F_1164,dataset/fly_ball/Codex_Workstation/F_1164/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1055,Codex_Workstation,F_1163,dataset/fly_ball/Codex_Workstation/F_1163,dataset/fly_ball/Codex_Workstation/F_1163/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1053,Codex_Workstation,F_1161,dataset/fly_ball/Codex_Workstation/F_1161,dataset/fly_ball/Codex_Workstation/F_1161/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1052,Codex_Workstation,F_1160,dataset/fly_ball/Codex_Workstation/F_1160,dataset/fly_ball/Codex_Workstation/F_1160/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1051,Codex_Workstation,F_1159,dataset/fly_ball/Codex_Workstation/F_1159,dataset/fly_ball/Codex_Workstation/F_1159/source.txt,1.650,1.750,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1047,Codex_Workstation,F_1155,dataset/fly_ball/Codex_Workstation/F_1155,dataset/fly_ball/Codex_Workstation/F_1155/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1045,Codex_Workstation,F_1152,dataset/fly_ball/Codex_Workstation/F_1152,dataset/fly_ball/Codex_Workstation/F_1152/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1044,Codex_Workstation,F_1151,dataset/fly_ball/Codex_Workstation/F_1151,dataset/fly_ball/Codex_Workstation/F_1151/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1043,Codex_Workstation,F_1150,dataset/fly_ball/Codex_Workstation/F_1150,dataset/fly_ball/Codex_Workstation/F_1150/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1042,Codex_Workstation,F_1149,dataset/fly_ball/Codex_Workstation/F_1149,dataset/fly_ball/Codex_Workstation/F_1149/source.txt,1.950,2.050,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1041,Codex_Workstation,F_1148,dataset/fly_ball/Codex_Workstation/F_1148,dataset/fly_ball/Codex_Workstation/F_1148/source.txt,1.950,2.050,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
1039,Codex_Workstation,F_1145,dataset/fly_ball/Codex_Workstation/F_1145,dataset/fly_ball/Codex_Workstation/F_1145/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1037,Codex_Workstation,F_1143,dataset/fly_ball/Codex_Workstation/F_1143,dataset/fly_ball/Codex_Workstation/F_1143/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1036,Codex_Workstation,F_1142,dataset/fly_ball/Codex_Workstation/F_1142,dataset/fly_ball/Codex_Workstation/F_1142/source.txt,1.970,2.070,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1034,Codex_Workstation,F_1140,dataset/fly_ball/Codex_Workstation/F_1140,dataset/fly_ball/Codex_Workstation/F_1140/source.txt,1.970,2.070,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1033,Codex_Workstation,F_1139,dataset/fly_ball/Codex_Workstation/F_1139,dataset/fly_ball/Codex_Workstation/F_1139/source.txt,1.950,2.050,visible_contact_audio_unresolved,recover source and re-localize normal-speed bat-contact audio,pending_source_recovery
1032,Codex_Workstation,F_1138,dataset/fly_ball/Codex_Workstation/F_1138,dataset/fly_ball/Codex_Workstation/F_1138/source.txt,1.970,2.070,contact_pair_unverified,recover source and recut to make video and normal-speed audio unambiguous,pending_source_recovery
1031,Codex_Workstation,F_1137,dataset/fly_ball/Codex_Workstation/F_1137,dataset/fly_ball/Codex_Workstation/F_1137/source.txt,1.970,2.070,no_verified_live_contact_in_clip,recover source and recut around an actual live batting action,pending_source_recovery
