global_index,repair_batch,repair_batch_index,collector,sample_id,main_relative_path,before_event_start,before_event_end,old_prefilter_status,old_primary_error,qwen_model,qwen_decision,qwen_visual_time,qwen_window_start,qwen_window_end,qwen_contact_sound_audible,qwen_contact_sound_normal_speed,selected_candidate_index,selected_candidate_time,selected_candidate_probability,selected_candidate_score,proposed_event_start,proposed_event_end,disposition,visual_evidence,failure_reason
1196,audit_checkpoint_001,12,Zhengxuan_Liu,F_023,dataset/fly_ball/Zhengxuan_Liu/F_023,0.443,0.451,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.3,1.5,True,True,1,0.446,0.99409538,7.252,0.396,0.496,candidate_bound_pending_second_review,"At 0:00–0:02 the pitcher delivers; at ~0:00.8 the batter swings and makes contact with a visible bat-ball impact and immediate ball departure toward left field, followed by camera tracking the ball in flight.",
1195,audit_checkpoint_001,13,Zhengxuan_Liu,F_022,dataset/fly_ball/Zhengxuan_Liu/F_022,2.035,2.047,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.0,3.5,True,True,1,2.038,0.9686712,7.396,1.988,2.088,candidate_bound_pending_second_review,"The video shows a pitcher winding up and delivering a pitch. The batter swings and makes contact with the ball at approximately 00:02, followed immediately by the ball flying into the outfield.",
1194,audit_checkpoint_001,14,Zhengxuan_Liu,F_021,dataset/fly_ball/Zhengxuan_Liu/F_021,0.369,0.379,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.5,1.5,True,True,,,,,,,contact_visible_audio_unresolved,"The video shows a pitcher delivering the ball (0:00-0:01), followed immediately by the batter swinging and making contact with the ball (approx 0:01). The camera then cuts to follow the ball's flight into the outfield.",
1193,audit_checkpoint_001,15,Zhengxuan_Liu,F_020,dataset/fly_ball/Zhengxuan_Liu/F_020,1.127,1.132,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.2,0.8,1.6,True,True,1,1.13,0.94972564,4.255,1.080,1.180,candidate_bound_pending_second_review,Pitcher winds up and delivers (0:00-0:01). Batter swings and makes contact with the ball at approx 0:01. The camera follows the ball's flight into the outfield.,
1192,audit_checkpoint_001,16,Zhengxuan_Liu,F_019,dataset/fly_ball/Zhengxuan_Liu/F_019,0.866,0.874,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.0,3.0,True,True,1,0.871,0.94931269,4.343,0.821,0.921,candidate_bound_pending_second_review,"At 00:00, the pitcher delivers the ball. At approximately 00:01, the batter swings and makes contact with the ball. The camera immediately follows the ball's flight into the outfield.",
1191,audit_checkpoint_001,17,Zhengxuan_Liu,F_018,dataset/fly_ball/Zhengxuan_Liu/F_018,0.998,1.008,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,1,1.0,0.97452365,7.584,0.950,1.050,candidate_bound_pending_second_review,Pitcher delivers ball at 00:00. Batter swings and makes contact with the ball at approximately 00:01. Camera follows the ball into the outfield.,
1190,audit_checkpoint_001,18,Zhengxuan_Liu,F_017,dataset/fly_ball/Zhengxuan_Liu/F_017,0.788,0.796,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.5,1.5,True,True,1,0.791,0.99744689,7.844,0.741,0.841,candidate_bound_pending_second_review,At 00:00.6 the pitcher releases the ball. At 00:00.8 the batter swings and makes contact with the pitch. The ball is seen flying into the outfield immediately after.,
1189,audit_checkpoint_001,19,Zhengxuan_Liu,F_016,dataset/fly_ball/Zhengxuan_Liu/F_016,0.838,0.847,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.5,True,True,1,0.841,0.99927627,19.592,0.791,0.891,candidate_bound_pending_second_review,"A pitcher throws the ball, and the batter swings, making contact with the ball which flies into the outfield.",
1188,audit_checkpoint_001,20,Zhengxuan_Liu,F_015,dataset/fly_ball/Zhengxuan_Liu/F_015,0.603,0.62,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.5,1.5,True,True,1,0.611,0.9560944,7.131,0.561,0.661,candidate_bound_pending_second_review,"A pitcher delivers the ball and a batter swings at 0:00-0:01. The bat connects with the ball (visible impact) around 0:01, followed immediately by the ball flying into the outfield.",
1187,audit_checkpoint_001,21,Zhengxuan_Liu,F_014,dataset/fly_ball/Zhengxuan_Liu/F_014,1.893,1.903,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.5,3.0,True,True,1,1.898,0.90714422,3.808,1.848,1.948,candidate_bound_pending_second_review,"Pitcher delivers pitch (0:00-0:01), batter swings and makes contact with the ball (0:01-0:02), followed by the ball flying into the outfield (0:02-0:07).",
1186,audit_checkpoint_001,22,Zhengxuan_Liu,F_013,dataset/fly_ball/Zhengxuan_Liu/F_013,2.134,2.142,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.0,3.0,True,True,1,2.138,0.98089359,6.308,2.088,2.188,candidate_bound_pending_second_review,Pitcher delivers pitch at 0:00-0:01. Batter swings and makes visible contact with the ball at approx 0:02. The ball is seen flying into the outfield immediately after.,
1185,audit_checkpoint_001,23,Zhengxuan_Liu,F_012,dataset/fly_ball/Zhengxuan_Liu/F_012,1.301,1.312,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.5,True,True,1,1.305,0.88323119,6.933,1.255,1.355,candidate_bound_pending_second_review,Pitcher winds up and delivers (0:00-0:01). Batter swings and makes visible contact with the ball at approx 0:01. Camera cuts to outfield view showing the ball in flight.,
1184,audit_checkpoint_001,24,Zhengxuan_Liu,F_011,dataset/fly_ball/Zhengxuan_Liu/F_011,0.816,0.826,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,1,0.821,0.99672688,7.352,0.771,0.871,candidate_bound_pending_second_review,"Pitcher delivers pitch (0:00-0:01), batter swings and makes contact with ball (0:01), followed by ball flight into outfield (0:02+).",
1183,audit_checkpoint_001,25,Zhengxuan_Liu,F_010,dataset/fly_ball/Zhengxuan_Liu/F_010,0.837,0.846,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,1.0,0.5,2.0,True,True,,,,,,,contact_visible_audio_unresolved,Pitcher delivers pitch at 0:00; batter swings and makes visible contact around 0:01 with follow-through; camera cuts to ball flight in outfield.,
1182,audit_checkpoint_001,26,Zhengxuan_Liu,F_009,dataset/fly_ball/Zhengxuan_Liu/F_009,0.823,0.833,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.5,0.0,1.5,True,True,1,0.826,0.70718575,4.432,0.776,0.876,candidate_bound_pending_second_review,Pitcher delivers the ball at 0:00. Batter swings and makes contact with the ball around 0:00-0:01. The camera follows the ball into the outfield.,
1181,audit_checkpoint_001,27,Zhengxuan_Liu,F_008,dataset/fly_ball/Zhengxuan_Liu/F_008,1.427,1.436,needs_edit,contact_timestamp_wrong,qwen3.5-omni-plus,contact_context_ok,1.2,0.5,3.0,True,True,,,,,,,contact_visible_audio_unresolved,Pitcher delivers (0:00-0:01); batter swings and makes contact (~0:01) with immediate follow-through; camera cuts to ball flight in outfield (0:02+).,
1180,audit_checkpoint_001,28,Zhengxuan_Liu,F_007,dataset/fly_ball/Zhengxuan_Liu/F_007,0.642,0.656,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.5,0.0,2.0,True,True,1,0.646,0.942102,7.745,0.596,0.696,candidate_bound_pending_second_review,A pitcher delivers the ball to a batter at home plate. The batter swings and makes contact with the ball around the 0:01 mark. The camera then cuts to follow the ball's flight into the outfield.,
1179,audit_checkpoint_001,29,Zhengxuan_Liu,F_006,dataset/fly_ball/Zhengxuan_Liu/F_006,1.207,1.22,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.5,1.5,True,True,11,0.691,0.76594918,3.705,0.641,0.741,candidate_bound_pending_second_review,Pitcher delivers the ball at 0:00. Batter swings and makes contact with the ball around 0:01. The camera immediately cuts to follow the ball's flight into the outfield.,
1178,audit_checkpoint_001,30,Zhengxuan_Liu,F_005,dataset/fly_ball/Zhengxuan_Liu/F_005,1.947,1.951,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.8,1.5,4.0,True,True,1,1.948,0.96062434,3.949,1.898,1.998,candidate_bound_pending_second_review,"Pitcher winds up and delivers pitch (0:00-0:02). Batter swings and makes contact with the ball (0:02-0:03), sending it into the outfield. Camera follows the ball's trajectory.",
1177,audit_checkpoint_001,31,Zhengxuan_Liu,F_004,dataset/fly_ball/Zhengxuan_Liu/F_004,2.296,2.301,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.02,0.0,1.5,True,True,,,,,,,contact_visible_audio_unresolved,"Pitcher delivers pitch at 0:00, batter swings and makes contact with the ball at approximately 0:02, followed by immediate ball flight into the outfield.",
1176,audit_checkpoint_001,32,Zhengxuan_Liu,F_003,dataset/fly_ball/Zhengxuan_Liu/F_003,2.043,2.051,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.1,1.8,3.0,True,True,,,,,,,contact_visible_audio_unresolved,"A live pitch arrives at the plate and the batter swings, making contact with the ball around 00:02. The camera then follows the ball's flight into the outfield.",
1175,audit_checkpoint_001,33,Zhengxuan_Liu,F_002,dataset/fly_ball/Zhengxuan_Liu/F_002,1.635,1.638,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.5,3.0,True,True,,,,,,,contact_visible_audio_unresolved,A pitcher delivers a pitch at 00:01. The batter swings and makes contact with the ball around 00:02. The camera follows the ball's flight into the outfield.,
1174,audit_checkpoint_001,34,Zhengxuan_Liu,F_001,dataset/fly_ball/Zhengxuan_Liu/F_001,1.508,1.517,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.5,3.0,True,True,1,1.509,0.99999997,6.032,1.459,1.559,candidate_bound_pending_second_review,"A pitcher delivers the ball (00:00-00:01), the batter swings and makes contact with the ball (approx 00:02), followed by a cut to the ball flying into the outfield.",
1173,audit_checkpoint_001,35,Codex_Workstation,F_1289,dataset/fly_ball/Codex_Workstation/F_1289,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.02,0.0,0.5,True,True,,,,,,,contact_visible_audio_unresolved,"Pitcher delivers the ball (0:00-0:01), batter swings and makes contact with a visible follow-through (0:01-0:03), followed by the camera tracking the batted ball into the outfield.",
1172,audit_checkpoint_001,36,Codex_Workstation,F_1288,dataset/fly_ball/Codex_Workstation/F_1288,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.8,0.0,3.0,True,True,14,0.962,0.98763369,3.15,0.912,1.012,candidate_bound_pending_second_review,"Pitcher delivers the ball at 0:01, batter swings and makes contact around 0:02, followed by the ball flying into the outfield.",
1171,audit_checkpoint_001,37,Codex_Workstation,F_1287,dataset/fly_ball/Codex_Workstation/F_1287,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video starts with an outfielder already running to catch a fly ball. There is no view of the batter, pitcher, or the moment of bat-ball contact. The clip only shows the result of the play (the catch) and subsequent celebration.",No live batting action is visible in the clip. The video begins after the ball has been hit.
1170,audit_checkpoint_001,38,Codex_Workstation,F_1286,dataset/fly_ball/Codex_Workstation/F_1286,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The clip begins with the ball already in flight to the outfield (00:00), followed by an attempted catch and subsequent base running. No batter, pitch delivery, or swing is visible at any point.",No live batting action is visible; the clip starts after contact has occurred.
1169,audit_checkpoint_001,39,Codex_Workstation,F_1285,dataset/fly_ball/Codex_Workstation/F_1285,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,The clip begins with the ball already in flight toward the outfield. There is no view of the pitcher delivering the ball or the batter swinging at any point.,No live batting action is visible; the video starts after contact has occurred.
1168,audit_checkpoint_001,40,Codex_Workstation,F_1284,dataset/fly_ball/Codex_Workstation/F_1284,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video clip begins with the ball already in flight towards the outfield wall. No batter, pitcher, or swing is visible at any point in the footage.",The clip starts after the bat-ball contact has occurred; it only shows the ball's flight and landing in the stands.
1167,audit_checkpoint_001,41,Codex_Workstation,F_1283,dataset/fly_ball/Codex_Workstation/F_1283,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.5,3.0,True,True,1,2.007,0.98362539,6.55,1.957,2.057,candidate_bound_pending_second_review,Pitcher delivers pitch at 0:01; batter swings and makes contact with the ball at approximately 0:02; ball is seen flying into left field.,
1166,audit_checkpoint_001,42,Codex_Workstation,F_1282,dataset/fly_ball/Codex_Workstation/F_1282,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video begins with a runner already in motion between bases (0:00), followed by the ball rolling on the ground (0:01) and the runner sliding into third base (0:02-0:04). There is no visible batter, pitch, swing, or bat-ball contact event.",No live batting action or bat-ball contact is visible. The clip shows only the aftermath of a hit (runner advancing).
1165,audit_checkpoint_001,43,Codex_Workstation,F_1281,dataset/fly_ball/Codex_Workstation/F_1281,1.950,2.050,needs_edit,contact_timestamp_wrong,qwen3.5-omni-plus,contact_needs_recut,,,,True,True,,,,,,,needs_source_recut,"No live batting action visible. The clip shows a runner on base (0:00–0:02), then cuts to a slow-motion replay of the pitch crossing the plate and catcher receiving it (0:03–0:06). There is no view of the batter swinging or making contact during live play.",Live bat-ball contact cannot be verified because the video does not show a batter swinging or any visual evidence of contact; only post-contact runner movement and a slow-motion replay of the pitch are shown.
1164,audit_checkpoint_001,44,Codex_Workstation,F_1280,dataset/fly_ball/Codex_Workstation/F_1280,3.860,3.960,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.9,0.5,1.5,True,True,,,,,,,contact_visible_audio_unresolved,Pitcher delivers the ball; batter swings and makes contact with the ball at approximately 0:00-0:01; ball is hit into the field; batter begins running towards first base.,
1163,audit_checkpoint_001,45,Codex_Workstation,F_1279,dataset/fly_ball/Codex_Workstation/F_1279,1.950,2.050,needs_edit,contact_timestamp_wrong,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,The video starts with the ball already in flight towards the outfield (00:00). The batter and pitcher are not visible. The clip shows an outfielder making a sliding catch followed by a replay of the catch. No live batting action or contact is shown.,No visual evidence of the batter swinging or the ball being hit; the clip begins after contact has occurred.
1162,audit_checkpoint_001,46,Codex_Workstation,F_1278,dataset/fly_ball/Codex_Workstation/F_1278,1.830,1.930,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,contact_context_ok,2.1,1.5,3.0,True,True,1,1.898,0.99583906,8.017,1.848,1.948,candidate_bound_pending_second_review,"A batter is visible at the plate. The pitcher throws the ball, and the batter swings, making contact around 2.1 seconds. The ball is hit into the field of play.",
1161,audit_checkpoint_001,47,Codex_Workstation,F_1277,dataset/fly_ball/Codex_Workstation/F_1277,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,contact_needs_recut,,,,False,False,,,,,,,needs_source_recut,"The video starts with the ball already in play and the batter running towards first base. No pitch delivery, swing, or bat-ball contact is visible.","No live batting action (pitch, swing, contact) is visible in the clip; it begins after the ball has been hit."
1160,audit_checkpoint_001,48,Codex_Workstation,F_1276,dataset/fly_ball/Codex_Workstation/F_1276,0.230,0.330,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.8,1.5,4.0,True,True,10,2.668,0.98382293,5.294,2.618,2.718,candidate_bound_pending_second_review,"Pitcher winds up and throws (0:01-0:02), batter swings and makes contact with the ball (0:02-0:03), followed by the ball flying into the outfield.",
1159,audit_checkpoint_001,49,Codex_Workstation,F_1275,dataset/fly_ball/Codex_Workstation/F_1275,1.950,2.050,needs_edit,source_recovery_required,qwen3.5-omni-plus,contact_context_ok,0.8,0.5,1.2,True,True,16,0.897,0.99878921,1.941,0.847,0.947,candidate_bound_pending_second_review,"The video shows a pitcher delivering a pitch (0:00-0:01). The batter swings and makes visible contact with the ball at approximately 0:01. The camera immediately cuts to follow the ball's trajectory down the left field line, confirming the hit.",
1158,audit_checkpoint_001,50,Codex_Workstation,F_1273,dataset/fly_ball/Codex_Workstation/F_1273,1.950,2.050,needs_edit,contact_timestamp_wrong,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video shows only post-contact events: a runner rounding third and scoring (00:00–00:03), fielder reaction, and celebration near home plate. No pitch delivery, batter swing, or immediate batted-ball departure is visible.",No live bat-ball contact is visible; the clip starts after contact with runners advancing and celebrating.
1157,audit_checkpoint_001,51,Codex_Workstation,F_1272,dataset/fly_ball/Codex_Workstation/F_1272,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,contact_needs_recut,,,,False,False,,,,,,,needs_source_recut,"The video shows a batter swinging and making contact with the ball at 00:00. However, the visual action is clearly in slow motion (pitcher's follow-through and batter's swing are unnaturally slow). A second clip starting at 00:03 also shows the pitch and swing in slow motion. No normal-speed live contact sequence is present.","The batting action and contact are shown exclusively in slow motion/replay, which violates the requirement for unambiguous normal-speed contact."
1156,audit_checkpoint_001,52,Codex_Workstation,F_1271,dataset/fly_ball/Codex_Workstation/F_1271,5.310,5.410,needs_edit,contact_timestamp_wrong,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,No batter or pitch is visible; the clip shows only outfielders tracking a ball already in flight and fielding it.,No live batting action visible.
1155,audit_checkpoint_001,53,Codex_Workstation,F_1270,dataset/fly_ball/Codex_Workstation/F_1270,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,2.0,1.5,3.5,True,True,1,2.027,0.99970279,10.998,1.977,2.077,candidate_bound_pending_second_review,Pitcher winds up and throws; batter swings and makes contact with the ball around 0:02; ball is seen flying into the outfield.,
1154,audit_checkpoint_001,54,Codex_Workstation,F_1269,dataset/fly_ball/Codex_Workstation/F_1269,5.728,5.828,needs_edit,contact_timestamp_wrong,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video begins with the ball already in flight towards the outfield. The camera tracks an outfielder running back to the wall to make a catch. No batter, pitcher, or swing is visible in the clip.",No live batting action is visible; the clip shows only the result of a hit (ball flight and catch).
1153,audit_checkpoint_001,55,Codex_Workstation,F_1268,dataset/fly_ball/Codex_Workstation/F_1268,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video shows post-game fireworks and players celebrating on the field after the final out. No live pitching, batting, or ball-in-play action is visible.",No batter or live pitch/swing sequence is visible in the clip; it depicts a post-game celebration.
1152,audit_checkpoint_001,56,Codex_Workstation,F_1267,dataset/fly_ball/Codex_Workstation/F_1267,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video shows the ball in flight towards the outfield wall (00:00-00:02) and a player running the bases (00:03-00:06). No batter, pitch arrival, or swing is visible.",No live batting action is visible; the clip begins after contact has occurred.
1151,audit_checkpoint_001,57,Codex_Workstation,F_1266,dataset/fly_ball/Codex_Workstation/F_1266,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The clip begins with the ball already in flight to the outfield. An outfielder (Rojas) is shown running and making a diving catch. There is no visual of a batter, pitcher, or swing at any point in the video.",No batting action is visible in the clip; it only shows the result of a hit (the fly ball and catch).
1150,audit_checkpoint_001,58,Codex_Workstation,F_1265,dataset/fly_ball/Codex_Workstation/F_1265,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video begins with the ball already in flight towards the outfield. An outfielder runs back and catches the ball at the wall. No batter, pitcher, or swing is visible in the clip.",No batting action or pitch delivery is visible; the clip shows only the result of a hit (ball flight and catch).
1149,audit_checkpoint_001,59,Codex_Workstation,F_1264,dataset/fly_ball/Codex_Workstation/F_1264,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,no_live_contact,,,,True,True,,,,,,,needs_source_recut_no_visual_contact,"The clip begins with the ball already in flight to the outfield. No batter, pitch delivery, or swing is visible.",No live batting action is visible in the clip; it only shows the result of a hit (the ball in flight and the fielder's attempt).
1148,audit_checkpoint_001,60,Codex_Workstation,F_1263,dataset/fly_ball/Codex_Workstation/F_1263,1.950,2.050,needs_edit,clip_too_short,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The clip begins with the ball already in flight towards the outfield wall. The batter, pitch delivery, swing, and bat-ball contact are not visible.",No live batting action is visible in the clip; it starts after the ball has been hit.
1147,audit_checkpoint_001,61,Codex_Workstation,F_1262,dataset/fly_ball/Codex_Workstation/F_1262,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The clip begins with the ball already in play in the outfield; no batter, pitch delivery, or swing is visible.",No live batting action is shown.
1146,audit_checkpoint_001,62,Codex_Workstation,F_1261,dataset/fly_ball/Codex_Workstation/F_1261,1.950,2.050,direct_use_candidate,audio_and_context_pass,qwen3.5-omni-plus,no_live_contact,,,,False,False,,,,,,,needs_source_recut_no_visual_contact,"The video clip begins with a runner already running the bases (00:00). The subsequent action shows a fielder throwing the ball to second base and a tag being applied on the runner sliding into the bag (00:01-00:03). There is no footage of a batter at home plate, a pitch delivery, or a swing. Therefore, no live bat-ball contact is visible.",No batting action is visible in the clip; the footage captures a baserunning play and a tag at second base.
1145,audit_checkpoint_001,63,Codex_Workstation,F_1260,dataset/fly_ball/Codex_Workstation/F_1260,5.543,5.643,needs_edit,clip_too_short,qwen3.5-omni-plus,contact_context_ok,0.5,0.2,1.0,True,True,,,,,,,contact_visible_audio_unresolved,"At 0:00, the pitcher is in motion and the batter is set. At 0:00-0:01, the pitch arrives, the batter swings, and contact is made with the ball flying into the outfield. The sequence continues with the ball landing and fielders reacting.",
