dataset_path,sample_id,label,collector,verification_source,verification_detail,contact_time,timing_was_corrected,original_event_start,original_event_end,final_event_start,final_event_end
dataset/fly_ball/Codex_Workstation/F_0128,F_0128,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.818729,N,1.75,1.9,1.750,1.900
dataset/fly_ball/Codex_Workstation/F_0129,F_0129,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.593226,Y,0.8,0.95,1.543226,1.643226
dataset/fly_ball/Codex_Workstation/F_0130,F_0130,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.921271,Y,2.95,3.05,1.871271,1.971271
dataset/fly_ball/Codex_Workstation/F_0131,F_0131,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.437438,N,2.385,2.485,2.385,2.485
dataset/fly_ball/Codex_Workstation/F_0132,F_0132,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.023083,N,1.95,2.15,1.950,2.150
dataset/fly_ball/Codex_Workstation/F_0133,F_0133,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.869932,N,1.825,1.925,1.825,1.925
dataset/fly_ball/Codex_Workstation/F_0136,F_0136,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.740021,N,0.69,0.79,0.690,0.790
dataset/fly_ball/Codex_Workstation/F_0138,F_0138,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.035271,N,1.98,2.08,1.980,2.080
dataset/fly_ball/Codex_Workstation/F_0140,F_0140,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.005063,N,1.94,2.04,1.940,2.040
dataset/fly_ball/Codex_Workstation/F_0142,F_0142,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.019354,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0143,F_0143,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.831315,N,1.785,1.885,1.785,1.885
dataset/fly_ball/Codex_Workstation/F_0145,F_0145,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.015417,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0148,F_0148,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.996803,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0149,F_0149,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.065646,N,1,1.1,1.000,1.100
dataset/fly_ball/Codex_Workstation/F_0150,F_0150,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.001406,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0151,F_0151,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.00322,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0152,F_0152,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.002336,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0153,F_0153,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.008856,Y,0.47,0.57,1.958856,2.058856
dataset/fly_ball/Codex_Workstation/F_0159,F_0159,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,0.812064,Y,1.595,1.695,0.762064,0.862064
dataset/fly_ball/Codex_Workstation/F_0163,F_0163,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,4.034393,Y,0.05,0.15,3.984393,4.084393
dataset/fly_ball/Codex_Workstation/F_0164,F_0164,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.023354,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0166,F_0166,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.896895,N,0.8,0.9,0.800,0.900
dataset/fly_ball/Codex_Workstation/F_0167,F_0167,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.002766,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0168,F_0168,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.759478,N,1.705,1.805,1.705,1.805
dataset/fly_ball/Codex_Workstation/F_0171,F_0171,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.005479,Y,0.01,0.11,1.955479,2.055479
dataset/fly_ball/Codex_Workstation/F_0175,F_0175,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.997188,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0177,F_0177,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.002086,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0180,F_0180,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.027551,Y,0.31,0.41,1.977551,2.077551
dataset/fly_ball/Codex_Workstation/F_0181,F_0181,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.993764,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0184,F_0184,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.392063,N,1.345,1.445,1.345,1.445
dataset/fly_ball/Codex_Workstation/F_0187,F_0187,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.031729,N,1.98,2.08,1.980,2.080
dataset/fly_ball/Codex_Workstation/F_0189,F_0189,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.816689,N,1.765,1.865,1.765,1.865
dataset/fly_ball/Codex_Workstation/F_0192,F_0192,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.031771,N,1.98,2.08,1.980,2.080
dataset/fly_ball/Codex_Workstation/F_0193,F_0193,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.08932,N,1.035,1.135,1.035,1.135
dataset/fly_ball/Codex_Workstation/F_0194,F_0194,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.695329,N,0.645,0.745,0.645,0.745
dataset/fly_ball/Codex_Workstation/F_0199,F_0199,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.99712,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0202,F_0202,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.99678,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0207,F_0207,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.623667,N,1.57,1.67,1.570,1.670
dataset/fly_ball/Codex_Workstation/F_0211,F_0211,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.999637,N,0.955,1.055,0.955,1.055
dataset/fly_ball/Codex_Workstation/F_0212,F_0212,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.004921,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0213,F_0213,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.026021,N,1.975,2.075,1.975,2.075
dataset/fly_ball/Codex_Workstation/F_0214,F_0214,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.8435,N,0.78,0.88,0.780,0.880
dataset/fly_ball/Codex_Workstation/F_0215,F_0215,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.667875,N,1.61,1.71,1.610,1.710
dataset/fly_ball/Codex_Workstation/F_0216,F_0216,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.018375,N,1.95,2.05,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0217,F_0217,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.399977,N,1.355,1.455,1.355,1.455
dataset/fly_ball/Codex_Workstation/F_0218,F_0218,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,6.407186,Y,1.955,2.055,6.357186,6.457186
dataset/fly_ball/Codex_Workstation/F_0221,F_0221,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.375261,N,1.325,1.425,1.325,1.425
dataset/fly_ball/Codex_Workstation/F_0222,F_0222,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.028396,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0225,F_0225,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.435759,Y,0.8,0.9,1.385759,1.485759
dataset/fly_ball/Codex_Workstation/F_0226,F_0226,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.364014,N,0.315,0.415,0.315,0.415
dataset/fly_ball/Codex_Workstation/F_0228,F_0228,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.128594,N,1.075,1.175,1.075,1.175
dataset/fly_ball/Codex_Workstation/F_0234,F_0234,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.305688,N,0.25,0.35,0.250,0.350
dataset/fly_ball/Codex_Workstation/F_0237,F_0237,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.186175,Y,1.635,1.735,1.136175,1.236175
dataset/fly_ball/Codex_Workstation/F_0238,F_0238,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.016958,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0239,F_0239,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.989184,N,0.935,1.035,0.935,1.035
dataset/fly_ball/Codex_Workstation/F_0241,F_0241,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.035367,Y,0.05,0.15,1.985367,2.085367
dataset/fly_ball/Codex_Workstation/F_0242,F_0242,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.995125,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0243,F_0243,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.641689,Y,1.935,2.035,2.591689,2.691689
dataset/fly_ball/Codex_Workstation/F_0244,F_0244,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.264083,N,0.21,0.31,0.210,0.310
dataset/fly_ball/Codex_Workstation/F_0246,F_0246,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.998231,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0248,F_0248,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.014979,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0249,F_0249,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.682063,N,1.635,1.735,1.635,1.735
dataset/fly_ball/Codex_Workstation/F_0250,F_0250,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.079333,N,1.02,1.12,1.020,1.120
dataset/fly_ball/Codex_Workstation/F_0251,F_0251,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.00424,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0255,F_0255,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.997959,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0256,F_0256,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.022771,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0257,F_0257,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.843687,N,1.78,1.88,1.780,1.880
dataset/fly_ball/Codex_Workstation/F_0258,F_0258,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.995986,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0260,F_0260,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.035854,N,1.98,2.08,1.980,2.080
dataset/fly_ball/Codex_Workstation/F_0261,F_0261,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.021187,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0264,F_0264,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,0.471263,Y,0,0.15,0.421263,0.521263
dataset/fly_ball/Codex_Workstation/F_0266,F_0266,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.688667,N,1.64,1.74,1.640,1.740
dataset/fly_ball/Codex_Workstation/F_0267,F_0267,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.031062,N,1.98,2.08,1.980,2.080
dataset/fly_ball/Codex_Workstation/F_0268,F_0268,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.022896,N,1.96,2.06,1.960,2.060
dataset/fly_ball/Codex_Workstation/F_0269,F_0269,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.996417,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0270,F_0270,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.764671,N,1.715,1.815,1.715,1.815
dataset/fly_ball/Codex_Workstation/F_0271,F_0271,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.983628,N,1.935,2.035,1.935,2.035
dataset/fly_ball/Codex_Workstation/F_0273,F_0273,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.996485,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0274,F_0274,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.002854,N,1.94,2.04,1.940,2.040
dataset/fly_ball/Codex_Workstation/F_0275,F_0275,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.994717,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0277,F_0277,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.963175,N,1.915,2.015,1.915,2.015
dataset/fly_ball/Codex_Workstation/F_0278,F_0278,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.996009,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0279,F_0279,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,1.343034,Y,1.945,2.045,1.293034,1.393034
dataset/fly_ball/Codex_Workstation/F_0280,F_0280,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.622729,N,1.56,1.66,1.560,1.660
dataset/fly_ball/Codex_Workstation/F_0283,F_0283,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.997823,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0284,F_0284,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.601995,N,1.555,1.655,1.555,1.655
dataset/fly_ball/Codex_Workstation/F_0285,F_0285,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.067415,N,1.015,1.115,1.015,1.115
dataset/fly_ball/Codex_Workstation/F_0286,F_0286,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.385479,N,1.32,1.42,1.320,1.420
dataset/fly_ball/Codex_Workstation/F_0288,F_0288,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.993356,N,1.945,2.045,1.945,2.045
dataset/fly_ball/Codex_Workstation/F_0289,F_0289,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.483104,N,1.43,1.53,1.430,1.530
dataset/fly_ball/Codex_Workstation/F_0290,F_0290,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.718821,N,1.665,1.765,1.665,1.765
dataset/fly_ball/Codex_Workstation/F_0291,F_0291,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.031208,N,1.97,2.07,1.970,2.070
dataset/fly_ball/Codex_Workstation/F_0292,F_0292,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.006122,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0293,F_0293,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=N,2.011921,Y,4.35,4.45,1.961921,2.061921
dataset/fly_ball/Codex_Workstation/F_0296,F_0296,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.003719,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0297,F_0297,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,1.081521,N,1.03,1.13,1.030,1.130
dataset/fly_ball/Codex_Workstation/F_0298,F_0298,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,2.025521,N,1.97,2.07,1.970,2.070
dataset/fly_ball/Codex_Workstation/F_0304,F_0304,fly_ball,Codex_Workstation,human_timing_review,F101_304.csv: original_time_correct=Y,0.896667,N,0.83,0.93,0.830,0.930
dataset/fly_ball/Codex_Workstation/F_0308,F_0308,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.375,1.475,1.375,1.475
dataset/fly_ball/Codex_Workstation/F_0316,F_0316,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.955,2.055,1.955,2.055
dataset/fly_ball/Codex_Workstation/F_0318,F_0318,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,0.610,0.710,0.610,0.710
dataset/fly_ball/Codex_Workstation/F_0321,F_0321,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,2.465,2.565,2.465,2.565
dataset/fly_ball/Codex_Workstation/F_0332,F_0332,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0336,F_0336,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0337,F_0337,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.070,1.170,1.070,1.170
dataset/fly_ball/Codex_Workstation/F_0338,F_0338,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0339,F_0339,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.390,1.490,1.390,1.490
dataset/fly_ball/Codex_Workstation/F_0340,F_0340,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0341,F_0341,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0342,F_0342,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,0.750,0.850,0.750,0.850
dataset/fly_ball/Codex_Workstation/F_0346,F_0346,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0353,F_0353,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.010,1.110,1.010,1.110
dataset/fly_ball/Codex_Workstation/F_0359,F_0359,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0360,F_0360,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0362,F_0362,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.090,1.190,1.090,1.190
dataset/fly_ball/Codex_Workstation/F_0363,F_0363,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,0.810,0.910,0.810,0.910
dataset/fly_ball/Codex_Workstation/F_0366,F_0366,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,0.890,0.990,0.890,0.990
dataset/fly_ball/Codex_Workstation/F_0374,F_0374,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0375,F_0375,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.050,1.150,1.050,1.150
dataset/fly_ball/Codex_Workstation/F_0376,F_0376,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.410,1.510,1.410,1.510
dataset/fly_ball/Codex_Workstation/F_0379,F_0379,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.090,1.190,1.090,1.190
dataset/fly_ball/Codex_Workstation/F_0384,F_0384,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0388,F_0388,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,0.990,1.090,0.990,1.090
dataset/fly_ball/Codex_Workstation/F_0390,F_0390,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.730,1.830,1.730,1.830
dataset/fly_ball/Codex_Workstation/F_0393,F_0393,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.950,2.050,1.950,2.050
dataset/fly_ball/Codex_Workstation/F_0397,F_0397,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,0.990,1.090,0.990,1.090
dataset/fly_ball/Codex_Workstation/F_0398,F_0398,fly_ball,Codex_Workstation,human_binary_review,305-507.xlsx: usable=1,,N,1.310,1.410,1.310,1.410
